,pre_turn_1,pre_turn_2,pre_turn_3,pre_turn_4,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4
455,你好！,你好！,今天怎么有空来网吧呀？,今天休班过来放松一下。,最近有关注《巫师3》吗？,没有呀，最近太忙没时间玩。,《巫师3》里面有大量的18禁场景。,是吗，那我得抽空玩玩这个游戏。,当时开发游戏的时候主编就问谁能编12个18禁场景。,哇，这么直接，有人接活吗？
456,你好，同志，这是你丢的书吗？,是的，谢谢，,不客气。,我还以为找不回了呢。,你在关注最近的足球赛吗？,没呢，能说说吗？,今年高中锋终于报了利物浦的一箭之仇。,太精彩了这场比赛。,是呀，而且利物浦在新赛季英超的赛场上迎来的五连胜太精彩了。,等我忙完一定要去看。
457,你好呀。,你也好呀。,你喜不喜欢看那种扮猪吃虎，黑化后气场全开，一举扫灭仇敌的剧情呀。,这不是典型的爽文剧情吗？谁不爱看呀，工作和生活本来就已经很压抑很累了，谁不想在主角身上寄托一些自己希望的影子，想象着自己就是主角，放大扫灭全场呢。,哈哈，那你说这种在真实生活中会存在吗？,不都说艺术来源于生活嘛，这种肯定是存在的，才会有人把它用艺术的表现手法写出来。,但下一句话还是艺术高于生活呢。,那你想什么叫艺术呀？肯定是经过一些修饰夸张，进行一些艺术化的手法去处理，让情节显得更加的跌宕起伏，抓住人心。,哈哈，听您这解释您是个艺术家，但我最近就刚见证了一件这种事儿。,你看不是我夸张吧，是真有这样的事来，你说说啥事，我也好奇想听听。
458, , , , ,你好，同学，这有人吗？,没呢，坐吧。,谢谢。,不客气。,诶，你看，电视在放球赛，你喜欢看球赛吗？,喜欢。
459, , , ,你好呀。,你好呀，请问你旁边这个地方有人吗？能拼个桌吗？,没有没有，你请坐吧，我把东西收拾一下。,好的，谢谢你呀。你是去踢足球了吗？？怎么看你还穿着足球鞋呀？,哈哈，是的，踢完球太饿了，就直接跑过来吃饭了。你喜欢踢球看球啥的吗？,我踢球不行，但是挺喜欢看球的。,哈哈，那你都看啥球赛呀？
460, ,你好。,你好，请问电影院是在这层吗？,是的，沿着这个通道直走，左转就能看到了。,好的，谢谢你啊，请问你旁边这个位置有人吗？我能在这里坐一会儿，等一下我朋友吗？,没有问题，你坐吧。等朋友来一起看电影吗？,啊是的这不周末了，不用上班，一起出来放松一下嘛。,看的什么电影呀？你平时都喜欢什么类型的电影？,我挺喜欢科幻片儿，因为我觉得能给你的想象力插上翅膀的同时，还能进行一些科学知识的普及。,哈哈确实是这样，我平时就挺喜欢看科学杂志的。
461, , , ,你好。,你好，请问你旁边这个位置有人吗？可以一起拼个桌吗？,没有没有，你请坐吧，我把东西收拾一下。,好的，谢谢你啊。今天食堂电视机里播的是什么呀？,今天是篮球，不过现在好像是广告时间。,噢，那是NBA还是CBA呀，如果是NBA，我有点不太乐意看了。,是因为前段时间莫雷香港问题辱华那个事儿吗？
462,哦哦，你这是选择恐惧症犯了呗？,对对对，太难受了。,买前生产力，买后爱奇艺，哈哈哈哈。,啊？什么意思啊？,这不是ipad的外号吗？没听过吗？,没……为什么这么说啊，我怎么听不懂？,ipad你没有发现除了娱乐没有什么其他的作用吗？,嗯……好像是这样，我平时剪个片子修个图什么的都不能用pad。,对啊，就是这样，但是苹果家好像最近可以了。,啊？真的假的。
463, , ,嗨，你好。,嗨。,你是摄影师吗？,我不是，我就是业余的，拍着玩的。,那一定也有一定技术吧！,学过一点点吧。,那也很厉害啊！,都是被朋友带起来的。
464, , , ,你好。,你好，请问你这个位置有人吗？可以和你拼个桌吗？,没有，你请坐吧，我把书收一下。,好的，谢谢你啊，你是在用ipad刷网课吗？,哈哈是呀，买了iPad总不能白买吧，而且它体积比较小，方便随时拿着去应用办公呢。,哈哈，我最近也想入手一个iPad，但是有一句魔咒，我怕逃脱不了，买前生产力，买后爱奇艺啊。,哈哈，我觉得这个看个人吧。因为我当时我买它确实是有我要看慕课的一些需求的。
465,王千源呀，宋佳呀，都是实力派。,那应该很不错吧。,是呀，剧本，演员都挺不错的。,王千源都演过什么呀？,钢的琴你看过吗？,听说过，没看过。,王千源和秦海璐主演的，关于一位父亲为了女儿的音乐梦想不断努力的故事。,哦，那这个故事很悲伤吗？,不是，这个比较幽默，是一部喜剧电影。,哦，那这还挺考验演技的，那这部电影应该也不错吧。
466,王千源都演过什么呀？,钢的琴你看过吗？,听说过，没看过。,王千源和秦海璐主演的，关于一位父亲为了女儿的音乐梦想不断努力的故事。,哦，那这个故事很悲伤吗？,不是，这个比较幽默，是一部喜剧电影。,哦，那这还挺考验演技的，那这部电影应该也不错吧。,对呀，我准备去看了，一起？,好啊，那我们什么时候去看呢？,周末约？
467, ,你好。,你好，请问电影院是在这一层吗？,是的，你沿着左边这个通道直走，然后拐弯就可以看到电影院了。,好勒，谢谢你啊，你旁边这个位置有人吗？我可以在这里坐一会儿，等一下我的朋友吗？,没有人没问题，你坐吧，是和你朋友一块儿约了看电影吗？,哈哈，是的呀，这不周末了出来放松一下嘛。你也是出来看电影吗？,嗯，对，刚看完一部在这里坐一会儿，等一下我朋友上厕所。,原来是这样呀，你看的是什么电影呀？,嗯，是一个犯罪悬疑片叫《你是凶手》。
468, , , ,你好。,你好呀，请问你旁边这个位置有人吗？可以拼个桌吗？,没有人你请坐吧，我把东西收拾一下。,好的，谢谢你啊，今天食堂电视里播的是什么呀？,是体育新闻，好像在说足球那事儿，说齐达内皇马啥的。,噢噢，那我大概知道是什么事了。,嗯？你是一个足球迷吗？就这么点儿关键词就能拼凑出来这件事儿吗？
469,感觉很难啊，是个流量电影吧，但是现在电影早就不是流量的市场了。,确实，现在的电影要么就是真的好看要么就是大佬坐镇来着。,嗯嗯，主要还是剧情，感觉诛仙剧本能不能撑起电影。,大荧幕我觉得改编不好真的很难成功啊，应该很悬。,这三个人好像都没演过电影吧，三个人都是第一次嘛？,不是啊，李沁演过电影的啊。,哦哦。这样啊哈哈哈我都不知道。,嗯嗯，先不说了哦，我车来了。,好，拜拜。, 
470, , ,嗨，同学，你好。,嗨，同学。,食堂别的地方没位置了，你旁边没有人吗？,没有，你可以坐我旁边。,谢谢啊，同学。,没事的。,同学，你在看什么新闻吗？,对啊，我在看篮球方面的报道。
471, , , , ,你好，这里有人吗？,没有，你坐吧。,谢谢。,不客气。,你平时爱看球赛吗？,很喜欢，有时间就看。
472, , ,嗨，你好。,嗨，你好。,请问这个座位有人坐吗？,没有人坐你可以坐在这里。,好的，谢谢。,嗯，不客气。,今天来这家店吃饭人挺多的，以前来都会有很多空位的。,对啊，今天这里人特别多。
473,那你知道什么是NBA吗？哈哈哈。,NBA不就是美国职业篮球赛么！你太小看我了，哈哈哈哈。,哈哈哈，可以啊，知道nba就行，哈哈哈。,你再考考我别的呀~,那你知道NBA里有哪些球队来打吗？,嗯...这个我就不知道啦，你跟我说说呗。,里面啊，有这个灰熊队，还有森林狼队，还有公牛队。,哈哈哈，怎么都是用动物起的名字啊？,呃..这个我就不知道了。可能听起来比较霸气吧，哈哈哈。,不过那个鹈鹕队的名字确实有点可爱啊，哈哈哈。
474,好啊。,你经常来这里跑步吗？,对啊，每天都来。,哦哦。,你也经常来吗？,不，我是最近一段时间才来的。,我最近看过一篇报道，就是跑者要适度训练，不然会伤到身体。,对啊我也觉得跑者应该适度训练。,所以我一般不会跑太久。,哦哦。
475,你数据线是什么样的？,苹果数据线。,那我们数据线不一样哎，我的是安卓数据线。,啊，我太难了，我的手机要没电了。,你的手机是苹果6s吗？,不是呀，6s我已经换了，现在是新买的11.,哦~我那天看了一则新闻，说的是苹果6s电池有故障。,嗯？6s可是苹果卖的最爆款的一款手机呢，电池居然有故障？！,"不是所有的苹果6s,我记得好像只有18年之后的手机。不过连macbookPro和macbook键盘啥的的，这都是苹果第六次发布修护了。",哎，苹果真的是，一年不如一年了。我都想把11 换成华为了。
476,铜牌也很厉害啊。我记得以前学滑冰，摔了个狗啃泥。,哈哈，不管做什么事情都得坚持啊。,你说的有道理，在赛上还有什么出彩的选手没？,那是比比皆是啊，每一个都很能打呢，就比如说男单冠军里佐，用了很多高难度动作，虽然有些瑕疵，但最后还是拿了冠军。,这次有羽生结弦吗？,你可真是羽生结弦的小迷妹，不过这次没有他啦。,那真是太遗憾啦。,但是有很多其他人啊，比如说萨马林之类的，比赛很激烈，值得一看呢。,等我有空了去看看。,好呀，我还有事先走了。
477,嗯！我也很期待的，看完预告片，感觉剧情非常有悬念，很吸引我！,我比较关注三个主角之间的关系，感觉曹征挺神秘的。,是的，这么吸引人的剧情和关系线，再加上重庆的景色和风土民俗，我觉得这部剧一定会火。,嗯我也相信它会火的。,你有去过重庆吗？,很遗憾我没去过。,好可惜，我去过一次就喜欢上了，建筑风格太有趣了，当地人也很热情。,嗯嗯我大概了解过，也非常想去一次。,不如我们加个好友，以后有机会可以一起去重庆玩啊。我肯定还会去的。,好啊，放假有时间的话我们就可以一起去。
478,嗯嗯，我听说那部剧反响还不错呢。,在剧中杜淳还很帅的呢，哈哈哈。,是吗？杜淳是不是都当爸爸了啊？我记得。,哈哈哈哈，笑死我了姐妹。你是不是弄混了啊？,哈哈哈，有吗？那个参加爸爸去哪儿的不是他吗？,不是啊，姐妹，哪个是杜江啊，不是杜淳！,哈哈哈，天呐，丢人了。那个嗯哼的爸爸原来叫杜江啊。,是的啊，姐妹，人家杜淳还没结婚呢，怎么就有孩子了。,哈哈哈哈，我对不起杜淳，道歉。,人家杜淳这是无中生子啊，哈哈哈。
479,共享办公场所？就是共享的办公室吗？,对啊对啊，就是跟共享单车，共享汽车一样的。,哇，这个我以前还真没听说过呢！,嗯嗯，对啊，因为这个还没在我们国内普及呢~只有少数的城市有这个。,不知道这个生意好不好，用的人多嘛？,呃..国内的我不知道，但是wework在国外是挺火的。,我觉得在我们国内其实应该也用不太到。,嗯？为什么这么说呢？,因为我们国内的公司基本上都有专门的会议室。根本用不到这个。,噢噢，说的也对，国情不一样嘛。
480,而且不光日本队，韩国队俄罗斯都是3比0直接结束比赛。,嗯嗯，我都觉得赢得真轻松。,是啊，咱作为观众觉得轻松，其实运动员背后付出了很多的努力呢！,可不是吗，荣誉的背后全是拿自己的辛苦换来的。,我看你家孩子打球挺专业的呢！想走专业队吗？,不一定，咱们国家的排球技术挺好的，要是孩子真有天赋，可以考虑看看呢！,哈哈，是走专业最起码也能上个大学呢！考个体育类的大学也不错哈。,是啊，练不出来考个大学上上也行。,嗯嗯，孩子下课了，先走哈！,好的，回聊。
481, ,同学，你好呀。,你好。,我想问一下是这里排队买营养餐吗？,对呀，你没吃饭吗？,没呀，哈哈，起晚了，昨天晚上熬夜看了个新电影，有点睡过头了。,哦，看了什么电影啊，我想电影一定很好看。,对呀，就是那个刚上映的，叫《大约在冬季》的电影。,哇，看这个电影的名字让我想到了齐秦的歌，很好听，那电影一定非常好看，等有空我一定要去看。哈哈,对呀，其实我看这个电影主要是因为我的偶像，霍建华。
482,嗨你好啊！,你好。,没想到你球踢得这么好啊！挺厉害的啊！,哈哈哈，还好，长踢球就玩的比较好了哈哈哈~你踢得也不差啊！,哈哈哈，我经常看看足球比赛啊，看看资讯什么的，稍微跟着学一下，对了你最近有看英超比赛吗？,没有呢，最近没来得及看，就只是出来玩玩球了，最近有什么比赛吗？,嗯呢，最近英超维拉队这次的表现真的是太让人失望了。,维拉队咋了？我听说已经被投入过亿了都。,是啊！但是气人的就是维拉队到现在只拿到一场比赛的胜利啊。,我去，这是什么情况？怕不是内讧？
483, , ,嗨，你好啊。,嗯嗯，你好啊。,你看今天早上的英超了吗？,没有呢，准备今天中午看回放呢。,哦哦。,战况怎么样？,升班马维拉和西汉姆联打成0-0平手。,我去，今夏投入过亿的维拉队岂不是才胜利了一场？
484,哈哈，女生可能不太喜欢蓝球比赛，你应该也不认识篮球运动员吧？,对呀，我一同学都在说乔丹什么的，我一直以为是街舞的呢。,哈哈，乔丹你们也不认识呀，就是那个篮球之神，那个跳街舞的叫迈克尔杰克逊，他俩一个名。,哈哈，这就尴尬了，这么有名的名人都记错了，有愧啊。,怎么会，要不我简单给你普及一下，不知道你介意吗？,不介意啊，我可以涨涨知识嘛。,好呀，乔丹是我认为最厉害的那个篮球运动员，我开始打篮球就是因为他。,嗯，那你现在还打吗？,不打了，他现在退役了，他现在在黄蜂对当经理教练。,那有点可惜了，不打球不会后悔吗？
485,哈哈，这就尴尬了，这么有名的名人都记错了，有愧啊。,怎么会，要不我简单给你普及一下，不知道你介意吗？,不介意啊，我可以涨涨知识嘛。,好呀，乔丹是我认为最厉害的那个篮球运动员，我开始打篮球就是因为他。,嗯，那你现在还打吗？,不打了，他现在退役了，他现在在黄蜂对当经理教练。,那有点可惜了，不打球不会后悔吗？,因为他的年龄大了，他现在50多岁了，已经老了。,好吧，那他在黄蜂队里怎么样了啊？,那个队就是垃圾呀，哎，算是倒数的吧，不好意思同学，我接个电话。
486, , , , ,你好，请问一下你穿的是乔丹的鞋子吗?,不是。,好吧，我还想问你你从哪个渠道买的呢。,我也不清楚诶，这是我妈妈给我买的。你可以去淘宝看看。,也对，我这新换了5G手机，还没怎么熟悉业务呢。,哇哦，5G手机！是不是网速超快？
487,嗨你好啊！,你好。,你这球鞋真的是太好看了吧！是aj11吧？哈哈哈！,对~现在这双鞋涨价涨得真的是都快疯了呢！aj11大魔王~,哎！好看的鞋涨得都快！你最近有看到乔丹的最新资讯吗？,没有呢，都没有时间看了！不过乔丹真的是我最爱的球星了~,哈哈哈，我小时候也是疯狂迷恋他啊！共获6届NBA总冠军（两次三连冠），10次得分王，3届抢断王，14次入选全明星，10次入选最佳阵容，2次夺得奥运会金牌。,我去，你这记得也太清楚了吧！我记得他好像后来还买下了哪个球队呢。,嗯！是的，正式退役后买下夏洛特山猫（现名为夏洛特黄蜂），成为球队经营者。,嗯嗯！对！就是这个！这个球队怎么样？我不是很关注到呢！
488, , , ,你好呀。,你也好呀，请问你旁边这个位置有人坐吗？可以拼个桌吗？,没有没有，你请坐吧，我把东西收拾一下。,好的。，谢谢你呀，咦，这里还能看到食堂的电视呢，今天这是播了啥呀？,今天转播的NBA比赛，你平时爱看篮球啥的吗？,"嗯，不太打，但是偶尔会看看一下球赛NBA,CBA啥的。",哈哈，那你喜欢NBA的哪个球队呢？
489, , , , ,你好，你也是去参加草坪音乐节的吗？,不是，我赶着上课。,那能不能问一下这个音乐节在哪里举行呀？,你听，你顺着音乐声就能找到了。,好的，听声音是在东操吗？,好像是的呢。
490, , , ,你好。,你好，请问你旁边这个位置有人吗？可以一起拼个桌吗？,没有人你请做吧，我把书收一下。,好的，谢谢你啊，今天食堂人可真多呀。差点儿就没有坐的地方。,哈哈，来得早不如来得巧，这不刚好能一块拼桌吗？看你穿的这身装备是去打球了？,哈哈是呀，今天没有课，就去和朋友约了打球。,确实有空了，锻炼锻炼身体挺好的，我打篮球不太行，但还挺爱看球的。
491, , ,你好呀。,你也好呀。,你知道张柏芝又生三胎了这件事吗？,我觉得张柏芝这些年虽然没有什么很爆的电影或电视剧作品，但她以前的作品也给她积累了很大的国民度，所以这件事儿就算我不想知道，微博和百度推送也不会放过我的。,哈哈，看来你已经'被'知道了，毕竟是一个信息高速传递爆炸的时代。,对呀，但如果你不问的话，过几天被其他新闻代替，可能我就淡忘了。,我们这些民众会忘记，但人家她确确实实又生了三胎，肯定还会再出来挣钱买奶粉的啦。,对哦，不过现在明星都搞了好多副业，开什么火锅店，奶茶店之类的，她有没有搞呀？三个孩子很不好养的哎！
492,你要对曼联有期望，刚刚开始呢。,关键他的主教也不找原因，敷衍我们这些球迷。,等最后比赛结束后，相信主教会给我们答复的，毕竟这么多人的关注。,希望他们能提高吧，抓紧训练还来得及。,嗯，马上到饭点了，你不去吃饭吗？,不说了不说了，再烂也还得看，我不吃了。,好吧。,再见。,拜拜。, 
493, , , ,你好。,你好，请问你旁边这个位置有人吗？能拼个桌吗？,没有人没有人，你请坐吧，我把东西收拾一下。,好的，谢谢你啊，今天食堂人可真多呀，差点就找不到位置坐了。,哈哈，来得早不如来得巧，这不刚好能坐一起拼桌嘛。,你说的对，相逢即是缘，今天食堂电视机里播的啥呀？,刚才在播足球，现在是体育新闻时间了。
494, , , ,你好。,你好，请问你旁边这个位置有人坐吗？我可以坐一会儿，等一下奶茶吗？,没有人没有人，你请坐吧，我把东西拿一下就可以了。,好的，谢谢你啊，你是特意来这边办公的吗？,哈哈，不是家里没有暖气来蹭一下，然后刚好我同学拜托我帮他做一个ps渲染。,哦，原来是这样呀，我也想学ps，就是不知道我那个破电脑还能不能行。,你电脑什么配置呀？
495,你好啊！,你好。,反正坐着也无聊，聊会天吧。,好呀。,你看最近的美网比赛了吗？,没有啊，最近没空看，能告诉我那比赛赛事怎么样了？,欧洲队夺冠了，连续三年夺冠。,哇，那也挺厉害的啊，看来你对比赛非常的关注啊。,还好吧，就看了几场比赛。,好吧，我听别人说在比赛中有人受伤了，是真的吗？
496, , ,我可以坐下么？,好，你要坐里面吧。,你看篮球比赛吗？,不太喜欢看。,最近字母哥和雄鹿签了合同。,嗯，这个微博火了，我光知道一些明面上的事，具体的不太知道。,因为续签合同的问题，他被罚款了五万美元的罚单。,哦，是这样的啊，怪不得呢。
497, , , ,你好。,你好，请问你旁边这个位置有人吗？可以一起拼个桌吗？,没有人没有人，你请坐吧，我把这个书拿了就可以了。,好的，谢谢你啊，食堂人可真多呀，差点就找不到位置坐了。,哈哈，来得早不如来得巧，这不刚好咱俩能拼桌嘛。看你穿这身装备是去打球了吗？,啊，是这不今天上午没事就和朋友约了一块打篮球吗？你平时喜欢打球看球吗？,没有打球这方面的天赋，但是倒挺喜欢看球的。
498,你好，请问你旁边这个位置有人吗？可以一起拼个桌吗？,没有人没有人，你请坐吧，我把这个书拿了就可以了。,好的，谢谢你啊，食堂人可真多呀，差点就找不到位置坐了。,哈哈，来得早不如来得巧，这不刚好咱俩能拼桌嘛。看你穿这身装备是去打球了吗？,啊，是这不今天上午没事就和朋友约了一块打篮球吗？你平时喜欢打球看球吗？,没有打球这方面的天赋，但是倒挺喜欢看球的。,喜欢NBA吗？,那肯定喜欢呀，喜欢篮球的，谁不喜欢NBA，而且NBA带动的整个篮球行业的发展，可就像一头巨兽。,哈哈，其实有很多运动项目都很赚钱的。要学会投资和发现好的吸引人的运动员而已。,这就是NBA禁止非法招募的原因了吧。
499,好的，谢谢你啊，食堂人可真多呀，差点就找不到位置坐了。,哈哈，来得早不如来得巧，这不刚好咱俩能拼桌嘛。看你穿这身装备是去打球了吗？,啊，是这不今天上午没事就和朋友约了一块打篮球吗？你平时喜欢打球看球吗？,没有打球这方面的天赋，但是倒挺喜欢看球的。,喜欢NBA吗？,那肯定喜欢呀，喜欢篮球的，谁不喜欢NBA，而且NBA带动的整个篮球行业的发展，可就像一头巨兽。,哈哈，其实有很多运动项目都很赚钱的。要学会投资和发现好的吸引人的运动员而已。,这就是NBA禁止非法招募的原因了吧。,啊哈，毕竟如果不禁止的话，各个球队之间可都要卯足了劲儿的挖人了。,对你像雄鹿就刚吃到了一张罚单。
500,你好。,你好。,你桌面真好看。这张勒布朗真的超帅。,哈哈哈，是啊，前不久考研就一直用它激励自己嘛。,啊，那预祝你成功上岸啦。不过你听说最近勒布朗的采访了嘛？,没有欸，他最近有什么是嘛？,嗯，没有啦，就是在准备湖人得季前赛，他接受了一个采访。,啊，是这样啊，他绝对是信心满满得。,哈哈哈，不愧是粉丝，一猜即中，他很有自信呢，说他们每天都变得更好。,嗯嗯，我就知道他是这样的，不过这次他们在练习啥啊？
501, , , ,你好呀。,你好，这个位置有人吗？可以一起拼个桌坐吗？,没有人你请坐吧，我把东西收拾一下就可以了。,好的，谢谢你呀，食堂这个点人可真多呀，差点就没有位置坐下来吃饭。,哈哈，来得早不如来得巧，这不刚好咱俩能碰一块拼桌嘛，看你穿的这身行头是去打球了吗？,啊，是呀，这不今天没事就和朋友约了一块打球，放松一下。,我虽然打球不太擅长，但是特别喜欢看NBA。
502, , , ,你好。,你好，你旁边这个位置有人坐吗？可以一起拼个桌吗？,没有人没有人，你请坐吧，我把东西收拾一下就可以了。,好的，谢谢你啊，今天食堂人可真多呀，差点就找不到位置坐了。,哈哈，来得早不如来得巧，这不刚好我们俩能一块儿拼桌嘛。,啊，你说的对，主要是因为我们今天体育课上课的操场比较远，来晚了。,你体育课学的啥呀？
503,你好啊。,嗯嗯，你好。,诶，你也看，NBA啊，这杯子很不错哦。,哈哈，就是是不是看看比赛而已。,啊，这样啊，诶，不过你知道勇士最近很难嘛？,不知道啊，最近有个项目，就没有关注，勇士怎么了嘛？,是啊，勇士这个夏天丢了好多球员，不过还好还来了一个拉塞尔。,哦，拉塞尔？他去勇士了？,是啊，不过据说季前赛表现不是很理想，还在磨合期。,啊，那可能还得适应一段时间吧，不过他打什么位置啊？
504, , , ,你好呀。,你好，你旁边这个位置有人吗？可以一起拼个桌吗？,没有人请坐吧，我把东西收拾一下就可以了。,好的，谢谢你啊，这个点食堂人可真多啊，差点就找不到位置坐了。,哈哈，不客气，来的早不如来的巧，这不刚好咱俩能在一块拼桌嘛，看你穿的这一身行头，是去打球了吗？,哈哈，是呀，今天没事儿就和朋友约着一块儿打球，打完球就来吃饭了。你喜欢打球吗？,哈哈，我没有打篮球这方面的天赋，但平时会看看NBA。
505, , , ,你好呀。,你好，请问你旁边这个位置有人坐吗？可以一起拼个桌吗？,没有人你请坐吧，我把东西收一下就可以了。,好的，谢谢你啊，今天来晚了，差点儿就没有位置坐。,哈哈，不客气，来的早不如来得巧，这不刚好咱俩能在一块儿拼个桌吗？,说的对，今天食堂电视里播的啥呀？,刚才播的是足球转播，现在好像在播新闻了。
506,诶，你这是在关注中国女排嘛？,嗯嗯，算是吧，我就是看了一下黄渤和彭彭的剧照，感觉很符合那个时代。,嗯呢， 而且巩俐的还原度也特别好，完全就是年轻时候的郎平啊。,就是，虽然我只看了照片但是也觉得很复原诶。,对，你知道女排队员还有客串吗？,不知道啊，都有谁啊，我都没注意都有这个新闻。,就是朱婷去客串了，然后发微博了，而且这部电影真的还原度真的绝了。,怎么说呢，他不会直接把老队员叫回来了吧。,哈哈哈，猜对了，就是全都叫回来了，基本上啊。,我的天哪。牛逼了。那这感觉就是直接再打了几次比赛了啊。
507, ,你好。,你好，请问电影院是在这一层吗？,是的，沿着这个通道直走左转就到了。,好的，谢谢你啊，你旁边这个位置有人吗？我能在这里坐一会，等一下我朋友吗？,没有人你请坐吧，等朋友来一块儿看电影吗？,嗯，是的呢，这不周末了，没有事儿就出来一块儿看个电影。,你们选的啥电影呀？,我也不知道，他买的好像是科幻片。,哈哈，我也刚看了一部科幻片，不过我觉得最近看的科幻片有点多，都审美疲劳了。
508, ,你好。,你好，请问电影院是在这一层吗？,是的呢，沿着这个通道直走，左转就能看到了。,好的，谢谢你啊，你旁边这个位置有人吗？我能在这里坐一会儿，等一下我朋友过来吗？,没有人，你请坐吧，和朋友一块儿约了看电影吗？,嗯是的，这不刚好赶上放假，没事儿出来放松一下嘛。,哈哈确实应该劳逸结合，你们看的啥电影呀？,是他买的一部爱国影片70周年展映里的，帮他完成任务嘛。要我说，我觉得爱国电影里面需要拍一部关于女排姑娘们的。,哈哈，还真的有这样一部电影，已经开拍了。
509, , , ,你好。,你好，你旁边这个位置有人吗？可以一起拼个桌吗？,没有，你请坐吧，我把东西收拾一下就可以了。,好的，谢谢你啊，今天食堂人可真多呀。，差点儿就找不到位置坐下来吃饭了,哈哈，没关系，来得早不如来得巧，这不刚好咱俩能一块拼个桌嘛。,哈哈，你说的对，相逢即是缘。,看你穿的真是行头，是去打篮球了吗？
510,同学你好，能借下你的校园卡吗？我用手机给你转账。,可以。,谢谢你啊，我校园卡忘带了。我扫下你的二维码。,没事。,同学你现在有看什么剧吗？,没看什么剧，主要看些综艺。,是吗，我给你推荐个剧叫《光荣时代》一部反特刑侦大剧。,谁主演的啊？,潘之琳和张译。这部剧是作为70周年的献礼剧，明星云集，剧情也扣人心弦。,刑侦剧啊，我还挺喜欢这种类型的。
511,那有什么方法吗？,那当然是换新的主板了。,哦，那有什么好的推荐吗？,嗯，有的，现在出新的了，是锐龙93950x，这是最顶级的。,那用这个之后还会出现同样的结果吗？,不会的，这个是最顶级的，近几年都不会出问题的。,大部分的人是不是都用这个啊？,是的，尤其是同学，因为他要打游戏，所以换了这样的版本，到现在不会出问题。,好吧，那就用这个吧，你帮我换一下吧。,哦，那个不好意思，现在没货了，只能下次了。
512,您好，请问需要什么啊？,你好，我想看下电脑。,好的，您一般用电脑干什么呢？,我就用来做作业，刷个剧，不用太高配置。,嗯嗯，那平时喜欢打游戏吗？,不太喜欢打游戏。,那可以买几款电脑，这几款销量都很好，满足基础需要。,我想问下这款电脑一些配件什么的信息。,这款电脑是最新款的，16核心32线程处理器锐龙9-3950X。,嗯嗯。
513, , , , ,你好，这里有位吗？,没有。,好，谢谢，哇，食堂开了电视啊。,是啊，每天都在看这体育的节目。,你应该很感兴趣吧。,是啊，我超喜欢足球，而且也很喜欢这个皇马的队伍。
514, , , , ,你好，现在在进行足球比赛吗？,还没开始，在进行热身。,好的，谢谢哈，还好赶上了。,没事。,今天比赛的这两支球队你觉得谁会赢？,这个不好说。
515, , , ,你好。,你好，请问你旁边这个位置有人坐吗？可以一起拼个桌吗？,没有人请坐吧，我把包拿一下。,好的，谢谢，您食堂这个点人可真多呀，差点就找不到位置坐下吃饭了。,哈哈，确实，不过来得早不如来得巧，这不刚好咱俩能一块儿拼桌嘛。,说的对，相逢即是缘嘛，食堂电视里今天播的啥呀？,在播足球转播，不过现在是广告了。
516,我在玩开心消消乐啊。,你快看微博，出了个新电影。,是吗，什么电影啊，好看吗。,《萌宠特工队》是一个动画片，你不是最喜欢看动画片的吗？,哎呀，你还记得呢，是啊，喜欢看动画片，手机可以看吗？,不能呢，得到电影院，已经上映了。,你要去看吗，看你这样你很喜欢看啊。,对啊，去吗？我们一起去呀。,可以啊，我看微博说它是和《格林童话》结合在一起的呀。,是呀，那就更应该值得去看了。
517, , , , ,你好，这里有人坐嘛？,没有你坐吧。,好的谢谢。,哎？你这是在看什么啊？,我吗?我在看看一篇新京报讯的广告呢。,讲的什么呀，方便透漏透漏聊一下嘛？
518,是啊，现在打车的不太多了吧，一般我出去也会滴滴打车,哈哈我也是，他们还为了调动司机的出车的意愿，还给他们发放了补贴呢,可能一些人觉得这种日子，跟家人一起才是最好的，可能愿意出车的不是很多吧。,是啊，我也觉得是这样。而且在中秋的时候，司机或者乘客遇到了什么问题，还可以致电给客服呢。,致电给客服的话，那不会有时间限制吗？,不会啊，客服人员24小时都在呢，而且各部门也提前准备了各种各样的相应的预案呢。,那这就厉害了，竟然想的这么周到，这滴滴干的这么大也不是没有原因的。,哈哈是啊，行，不说了，车来了。先走了。,好的拜拜, 
519, , , , ,你好，这里有人坐吗？,没有，你坐吧。,好的谢谢啦，,客气啥啊，哎？你这是在看啥啊。,我？我这在看一个关于比尔盖茨的新闻呢。,比尔盖茨？这是又发生了什么事情吗？最近没怎么看新闻。
520, , , , ,同学，你这座位旁边有本书，是有人坐吗？,没有没有，这是我自己的，你需要的话就坐吧。,好的，那谢谢你了啊。,不客气，正好我们聊会儿天吧。,你平时会花时间关注体育项目的赛事吗？,会关注，因为我对体育赛事还挺感兴趣的。
