,pre_turn_1,pre_turn_2,pre_turn_3,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4,pre_turn_4,pre_turn_5,after_turn_5
736,"no yo no conozco puerto Rico pero, me Han m-, contado como espuerto Rico. _x0015__x0015_",tú conoces puerto Rico? _x0015__x0015_,"eh, con murallas, con el, con el, . _x0015__x0015_","sí? _x0015__x0015_ yo yo lo conocí  sí, yo lo conocía de aquí. _x0015__x0015_",sí? _x0015__x0015_ ay que machera. _x0015__x0015_,"yo f-, . _x0015__x0015_ fui de, fui a Atlanta, . _x0015__x0015_",mhm. _x0015__x0015_,washington y puerto Rico . _x0015__x0015_,"mmh, y washington es que es divino no? _x0015__x0015_",,,
737," uf hace tiempo, sí no, si Rodrigo no, no volvió más con Ella niNada. _x0015__x0015_","y por qué? se peleó con el u-, tipo ese? _x0015__x0015_","sí, sí es que Sandra dice que ahora se la pasa de rodillas","verdad? _x0015__x0015_ ah, yo no sabía. _x0015__x0015_","sí, pues yo tampoco sabía, yo Le pregunté fue a Miti- a sandy, Le dije qué es la Vida de, que es la Vida de Rodrigo. ",sí. _x0015__x0015_ mhm. _x0015__x0015_,"me dijo, mmh ellos no pudieron concretar Nada con Mi mamá y pues élquería que Mi mamá se fuera para bogotá y pues como Mi tía Mercedesestá viviendo allá en villavo . _x0015__x0015_","sí, sí. _x0015__x0015_","entonces no, ellos cortaron pero hace años, Mi tía Mercedes estásola. _x0015__x0015_",,,
738,jugando xxx  . _x0015__x0015_,eh? _x0015__x0015_,"Nada, jugando ahí atrás con Jaime  . _x0015__x0015_",ya se van para la casa? _x0015__x0015_,"mmh sí, Un poquito más tarde. ",ah se van a quedar Un ra- quédense Un rato ahí con abuela. _x0015__x0015_,"xxx  . _x0015__x0015_ bueno, está bien. _x0015__x0015_",,mmh. _x0015__x0015_,,,
739,,"y, y sigue co-, viviendo Ella allá con más gente o qué? o . _x0015__x0015_",,"mhm, sí. _x0015__x0015_ ya, pero ha sido Buena gente, la xxx  . Ella es colombiana? no. _x0015__x0015_","oh sí señora. a esa señora yo Le de-, a, a esa señora yo Le debo el estar aquítodavía, ha. _x0015__x0015_","sí, de dónde es Ella? _x0015__x0015_","de barranquilla, mmh. _x0015__x0015_","ah, ya. _x0015__x0015_","entonces, claro, a esa señora yo Le debo muchas cosas, mmh. _x0015__x0015_",,,
740,ajá okey. _x0015__x0015_,pero yo espero que que me averigües todo muy bien porque . _x0015__x0015_ yo yo estoy viendo que me va a tocar que salir rápido acá . _x0015__x0015_,en que xxx . _x0015__x0015_,sí me entiendes? _x0015__x0015_,sí . _x0015__x0015_,"o sea después de las vegas, porque Luis Fernando creo que viene alas vegas conmigo . _x0015__x0015_",ajá . _x0015__x0015_,entonces ya después . _x0015__x0015_,pero la compañía te paga eso? _x0015__x0015_,,,
741,mmh. _x0015__x0015_,,"xxx  . _x0015__x0015_ bueno, está bien. _x0015__x0015_","Mira, tú me prometes que te vas a portar bien? _x0015__x0015_","mami, sí. _x0015__x0015_",y me vas a querer mucho? _x0015__x0015_,okey. _x0015__x0015_,más de lo que tú me quieres? _x0015__x0015_,qué? _x0015__x0015_,,,
742,"recontra nuevas están, oye. _x0015__x0015_","casi Nada, claro. _x0015__x0015_","de segunda, pero están nuevas, pues. _x0015__x0015_",y los impuestos que se paga allá? _x0015__x0015_,"más treinta y seis por ciento de impuestos, . _x0015__x0015_ si llevo Una me cobran veinticinco por ciento. ah, otra cosa. _x0015__x0015_",sí. _x0015__x0015_,"tú puedes llevar cualquiera, Un carro, lo que quieras, pero pagasveinticinco nomás, si tú lo llevas personal. _x0015__x0015_",,"si tú llevas dos, . _x0015__x0015_",,,
743,"bien Linda, entonces, este . _x0015__x0015_",ay qué bueno. _x0015__x0015_,"mhm. está compitiendo se ganó la medalla de oro e, en, ","y nelsito no, no está celoso? _x0015__x0015_","nelsito va a viajar, sí, a san germán ",para dónde va?,,,"creo que tiene po-, hay posibilidades que viaje a cuba para el añoque viene, ",,,
744,"mu- muy mucho calor, hace y . _x0015__x0015_ como que uno se ah se asfixia, ",,"sí, y la humedad, y todo es . _x0015__x0015_",o sea que es bien fuerte el calor? _x0015__x0015_,sí. _x0015__x0015_,más fuerte que que en piura? en perú  ? _x0015__x0015_,,ah. _x0015__x0015_,"o sea que sí la humedad te te ahoga más, uno suda más. _x0015__x0015_",,,
745,"pero eso n-, . _x0015__x0015_","ah, eh de aquí, de aquí el poder? _x0015__x0015_"," eh que lo firme efraín . _x0015__x0015_ y que ponga y que Un abogado Le haga Una carta donde se, dondeefraín Le da el poder a Mi mamá para que reciba el título . _x0015__x0015_ usted ve? _x0015__x0015_",tiene que ser de aquí? _x0015__x0015_,"puede, sí, puede ser. _x0015__x0015_ puede ser de allá pero sí, está aq-, si uno lo hace aquí, Unabogado lo puede hacer aquí mismo también. _x0015__x0015_",oh. _x0015__x0015_,usted entiende? _x0015__x0015_,"buen-, . _x0015__x0015_ cuando yo vaya . _x0015__x0015_","tap-, . _x0015__x0015_ la cosa e-, ajá, dígame. _x0015__x0015_",,,
746,ajá. _x0015__x0015_ sí. _x0015__x0015_,"tardará a lo mejor Un mes, igual no digo llega, si tarda Un mes,por eso dizque tengo que trabajar tanto, Le, este, Le decía el otrodía, ","sí, pero . _x0015__x0015_ es . _x0015__x0015_","digo pero aquello, doscientos, trescientos pesos tengo que ponerpara que, . _x0015__x0015_ que yo, para auy-, ayudarlo aunque sea a pagar la, parte de lahipoteca, no? _x0015__x0015_",exacto. sí. _x0015__x0015_,,sí. _x0015__x0015_," también estoy ayudándole, estoy q-, este, haciendo reparaciones deropa . _x0015__x0015_",xxx . _x0015__x0015_,,,
747,hasta que me dijeron eso. _x0015__x0015_,ay Mi madre. _x0015__x0015_,"y yo me lo encontraba raro que se me salían tanto cabello peromucho, mucho cabello y yo decía pero y qué es, y tratamiento ytratamiento. _x0015__x0015_ y los cabellos todos los días cayéndoseme más. _x0015__x0015_",tú sabes lo que es eso? _x0015__x0015_,"pero yo . _x0015__x0015_ pero yo voy a ir en la semana que entra Al instituto de la piel,también, sí. _x0015__x0015_",bueno entonces lo que yo voy a ser es que te voy a comprar Unaceite . _x0015__x0015_,mhm. _x0015__x0015_,"para que te lo pongas para que te salga lo que se te está saliendotambién, tú entiendes? _x0015__x0015_","sí, mhm. _x0015__x0015_",,,
748,"no, si ya terminó. ",sí. _x0015__x0015_ no bueno pero es que está en la universidad pues imagínese. aquí con . _x0015__x0015_,,"ah, terminó? _x0015__x0015_"," sí, sí terminó. _x0015__x0015_","bueno pues luego Le saldrá, ahí. _x0015__x0015_","eh no, pues es que después, después que terminan quieren, quierencomprar casa, quieren hacer demasiadas cosas antes, quieren Unatontería. _x0015__x0015_",la típica mentalidad americana.,"claro, desastre  . _x0015__x0015_",,,
749,"Un minuto. _x0015__x0015_ no, rapidito cuando tú cierres. _x0015__x0015_","todo mucho. sí, después de cuánto? Una media hora, Una hora. cómo? _x0015__x0015_",,"&+o . _x0015__x0015_ cierre y, y enseguida? _x0015__x0015_","ajá, sí. _x0015__x0015_","ya Mi hijito lindo entonces, ","okey ma  . _x0015__x0015_ no ese es el, la microonda. _x0015__x0015_","oh, bye bye Mi a-, Mi hijito, hasta luego Mi hijito lindo. _x0015__x0015_","bye ma. te quiero mucho también ma, bye. _x0015__x0015_",,,
750,,"eh, maría? _x0015__x0015_","manito, Mira, . _x0015__x0015_ "," _x0015__x0015_ Un momento, Un momento maría, Un momento. Julio, Julio, Julio. _x0015__x0015_ Julio? Un momento, no te vay-, n-, espérate, maría, no te vayas  . _x0015__x0015_ háblamele a Julio, a él. _x0015__x0015_ Julio, tú has tenido a-, p-, Un problema con natalio? _x0015__x0015_ recuérdate, natalio no tiene Su programa. _x0015__x0015_ no, Julio  . _x0015__x0015_ Mira así, ese hombre es muy emboromón. _x0015__x0015_ sí, ya maría. _x0015__x0015_ dime maría. _x0015__x0015_","pues sí, manito. _x0015__x0015_ a-, Mira yo siempre aconsejaba, yo era Una consejera, . _x0015__x0015_ tremenda, ",mhm. _x0015__x0015_,"pero Mira manito, cuando yo ví que yo necesitaba a dios, . _x0015__x0015_  Él no estuvo conmigo. Mi oración no paso Del pecho, de segurito que no. _x0015__x0015_",_x0015__x0015_," tú no me puedes hablar, pero yo te escucho,  no, Mi oración no llegó a ninguna parte, Mira Al ratito yo salí,  a los cinco minutos de tú salirte, papá murió. _x0015__x0015_",,,
751,"entonces, se envejece más uno  . _x0015__x0015_",es verdad. _x0015__x0015_,,"de veras, envejece más la gente allá, verdad? _x0015__x0015_","sí, Mi papá está bien viejito. _x0015__x0015_","sí porque yo veo amigas de treinta años bien viejas, usted. _x0015__x0015_",allá? _x0015__x0015_,sí. _x0015__x0015_,"sí. _x0015__x0015_ eh, no ve que Mi hermana, sí que Mi hermana es menor que mí,fíjese.  y Ella, Ella se ve más mayor hoy que fuimos. ",,,
752,"oh. _x0015__x0015_ oh, ya ya. _x0015__x0015_","ahí sí es treinta y seis por ciento, porque ya v- dicen paranegocio. _x0015__x0015_",sí. _x0015__x0015_,te das cuenta? _x0015__x0015_,claro. _x0015__x0015_,pero si llevas uno pagas solamente veinticinco por ciento. _x0015__x0015_,"oh sí, no. _x0015__x0015_","y entonces la fotocopiadora me sale más o menos por setecientos ypico en lima, puesta en lima ya para &+m . _x0015__x0015_ para recoger nomás. _x0015__x0015_","mmh ya, está bien, ah. _x0015__x0015_",,,
753,mhm. _x0015__x0015_,bueno entonces lo que yo voy a ser es que te voy a comprar Unaceite . _x0015__x0015_,"pero yo . _x0015__x0015_ pero yo voy a ir en la semana que entra Al instituto de la piel,también, sí. _x0015__x0015_","para que te lo pongas para que te salga lo que se te está saliendotambién, tú entiendes? _x0015__x0015_","sí, mhm. _x0015__x0015_",que se llama Un aceite de xxx tú te lo pones con Un algodoncito . _x0015__x0015_,en el cráneo. _x0015__x0015_,en el cráneo cuando te vayas a lavar la cabeza. _x0015__x0015_,ajá. _x0015__x0015_,,,
754,sabía que Mi amiga era tan caliente. _x0015__x0015_,sí. _x0015__x0015_,"dije ay concho, y dándole mala fama, yo dije xxx . _x0015__x0015_",y tú la has visto a Ella? _x0015__x0015_,"claro, muchísimas veces, muy mala que se ha puesto, charlatana, ycosas. _x0015__x0015_ yo me vivía llamándola y salundándola, y digo, ay, niña, ya nollamo a nadie. _x0015__x0015_",ajá. _x0015__x0015_,"la gente aquí cambia marino, eh? _x0015__x0015_","xxx . _x0015__x0015_ sí, cuando tú la veas, me Le das Un saludo. _x0015__x0015_",xxx . _x0015__x0015_,,,
755,xxx bien. _x0015__x0015_,ay qué Rico Mi Vida. _x0015__x0015_ y cuéntame cómo vas en tus clases de natación? _x0015__x0015_,xxx . _x0015__x0015_,estabas metiendo la Carita en el agua? _x0015__x0015_,sí xxx . _x0015__x0015_ xxx . _x0015__x0015_,ay qué Rico Mi Vida. _x0015__x0015_,,,,,,
756,hasta el el quince ya tiene que estar en lima ya . _x0015__x0015_,"ah sí, hasta cuando? _x0015__x0015_",se van el el cinco o el seis de octubre . _x0015__x0015_,y se van a llevar Al bebito? _x0015__x0015_,sí,qué tontos . _x0015__x0015_,es que con quién lo van a dejar? _x0015__x0015_,Les va a molestar que otra cosa,hombre no tú sabes que Milagros tiene esas ideas . _x0015__x0015_,,,
757,"sí, hay brisa también de de &+ai . _x0015__x0015_","es el es, sí, el clima es seco, eso es lo bueno. _x0015__x0015_","sí, ","también en la tarde corre ya, se, no? viento. _x0015__x0015_",sí. _x0015__x0015_,y allá Nada? _x0015__x0015_,"sí. _x0015__x0015_ acá no corre, no, como el mar, estamos lejos Del mar. _x0015__x0015_",oy. _x0015__x0015_,"sí. _x0015__x0015_ sí, Al para ir a la playa son como dos horas más o menos. _x0015__x0015_",,,
758,ajá. _x0015__x0015_,"claro, muchísimas veces, muy mala que se ha puesto, charlatana, ycosas. _x0015__x0015_ yo me vivía llamándola y salundándola, y digo, ay, niña, ya nollamo a nadie. _x0015__x0015_",y tú la has visto a Ella? _x0015__x0015_,"la gente aquí cambia marino, eh? _x0015__x0015_","xxx . _x0015__x0015_ sí, cuando tú la veas, me Le das Un saludo. _x0015__x0015_",xxx . _x0015__x0015_,"dile, hablé con marino, te Manda muchos saludos. _x0015__x0015_","y, y l-, y Su hermana, e, l-, l-, la otra. _x0015__x0015_",xxx . _x0015__x0015_,,,
759,viste tú xxx . _x0015__x0015_,pss . _x0015__x0015_ sí. _x0015__x0015_,eng. _x0015__x0015_,estaba diciendo Angelita que hablaste con Elena? _x0015__x0015_,sí ah oh me quedé asombrado brother@s me quedé asombrado esa,eng. _x0015__x0015_,no jodas. _x0015__x0015_,esa niña es Una abogada cómo habla Mi brother@s ah. _x0015__x0015_,sí. _x0015__x0015_,,,
760,"&+m . _x0015__x0015_ no, no están ahorita hasta las doce. _x0015__x0015_","ah, pero Le puedo decir a, uh xxx . _x0015__x0015_","pues raúl ahorita no está hasta las doce de la noche, eh? _x0015__x0015_","eh, rosi y los demás están bien? _x0015__x0015_",pues a la mejor Rosa sí está allí. _x0015__x0015_,"  bueno, Mira, podemos hacer esto, &+bo . _x0015__x0015_","porque él va a ir a buscar a raúl. _x0015__x0015_ para que lo y- traiga mañana muy temprano a jalar el carro, no séqué onda. _x0015__x0015_","ajá.   entonces así Le hacemos. de todas maneras, yo v- sabiendo cómo está la situación, verdad? ",xxx . _x0015__x0015_ para que lo agarres . _x0015__x0015_,,,
761,," oye, pero, ven acá, dime Una cosa, y eso no, no sirve de aquí paraallá? _x0015__x0015_ porque yo estoy dispuesto a servir de, de conejillo de indias. _x0015__x0015_","ya se nos, ya se nos está acabando el, lo- los treinta mágicosminutos estos, por xxx luego, me gustaría conseguir xxx . _x0015__x0015_ no, no, no, &+solamen . _x0015__x0015_",tú tienes tiempo? _x0015__x0015_,"ya, sí, sí, ya Nada más quedan como cuatro minutos. _x0015__x0015_",tú no tienes? _x0015__x0015_,"Mira, para ya concluir, eh, como siempre ha sido Un placer oírte. yo te vuelvo a llamar, envíame esa información. _x0015__x0015_","Alvin, Alvin, tú no sabes lo que yo te quiero y lo que yo teaprecio. _x0015__x0015_","no, pero eso es mutuo, tú lo . _x0015__x0015_",,,
762,bueno fuerte porque es bastante el trabajo como,"Mira y, y entonces cómo, cómo Esta la, el trabajo y eso?_x0015__x0015_",mmh  Estrella llegó ahí mhm  . _x0015__x0015_,muy contento los hermanos? _x0015__x0015_,xxx . _x0015__x0015_ sí están contentos y quieren aprender los muchachos de- Del grupo ytodo entonces  organizando  . _x0015__x0015_,"y y josé tiene posibilidades de, de, de tra- trabajar en algo ahí?_x0015__x0015_","bueno él me está ayudando con la música, tú sabes que josé se animócon el bajo. _x0015__x0015_",ah? _x0015__x0015_,josé se animó con el bajo. _x0015__x0015_,,,
763,estoy trabajando en la misma oficina donde trabajaba allá en miami._x0015__x0015_,en qué está trabajando? _x0015__x0015_,"xxx . _x0015__x0015_ pues bien Mi hijo, sí, trabajando. _x0015__x0015_","oh pero ah, con xxx con flores, creo. oh sí? _x0015__x0015_","sí, pero entonces estoy viajando, todos los días m-, me toca eh,hora y media. _x0015__x0015_","a dónde tiene que ir, a tampa? hasta miami? en la misma oficina y todo? _x0015__x0015_","hasta miami, hasta miami, yo soy . _x0015__x0015_","ah, yo sé donde queda esa oficina. _x0015__x0015_",sí. _x0015__x0015_ sí pero entonces eh &+m . _x0015__x0015_ eh. _x0015__x0015_,,,
764,ah estaba contando de ayer la aidé. _x0015__x0015_,ah. _x0015__x0015_,"eh . _x0015__x0015_ seguro. _x0015__x0015_ y ahí agarra y Le dice . _x0015__x0015_ sí, señora, cómo está? _x0015__x0015_ feliz año nuevo. _x0015__x0015_ y cuándo lo he invitado para Mi matrimonio . _x0015__x0015_ para que me diga señora? _x0015__x0015_ d- eso Le contestó, pues yo lo oí. _x0015__x0015_  ah no, okey okey, es que Le dijo, disculpe señora &+ita, uh . _x0015__x0015_ y pues siguió pasando así pues saludando a toda la gente. _x0015__x0015_","hoy día es el cumpleaños de don lucho, sabe? _x0015__x0015_",ah sí? _x0015__x0015_,sí. _x0015__x0015_,ah ya. _x0015__x0015_ y qué tal si Le hablo hoy en la noche para saludarlo? _x0015__x0015_,"sí, ya Le pu- ah después él seguro va estar a- acaba de venirahorita. _x0015__x0015_","ah ya, Le haces presente vos. _x0015__x0015_",,,
765,"bueno, de miami siempre cuesta doscientos. _x0015__x0015_","de doscientos, xxx . _x0015__x0015_",sí.," _x0015__x0015_  _x0015__x0015_ por quince días. _x0015__x0015_ siempre cuesta doscientos, de acá? _x0015__x0015_","sí. _x0015__x0015_ doscientos dólares  eso es lo que cuesta miami, caracas,caracas, miami. _x0015__x0015_",_x0015__x0015_ por cuántos días? _x0015__x0015_,"e-, cualquiera, abierto. _x0015__x0015_",abierto. mmh. no sé. _x0015__x0015_,"sí. _x0015__x0015_ claro, servivensa. _x0015__x0015_",,,
766,"la qué? no, eso fui yo xxx? _x0015__x0015_",eso fue eso sonó aquí o sonó allá? _x0015__x0015_,está bien. _x0015__x0015_,"ah eso fuiste tú aquel ruidito, yo supongo que avisarán, verdad? _x0015__x0015_",sí. _x0015__x0015_,"bueno, no nos vamos a hartar.  ja- eh Jaime, Deja. _x0015__x0015_",your time is almost over@s. _x0015__x0015_,"okey, te quiero mucho. _x0015__x0015_",aló. _x0015__x0015_ eso fui yo.,,,
767,"está bien, sabe muchísimo también. _x0015__x0015_","ajá. _x0015__x0015_ y el niño, cómo está? y los demás? _x0015__x0015_",entonces yo voy a decir que ahora ya voy para el &+cemente . _x0015__x0015_ mmh  . _x0015__x0015_,"y Zenaida, está bien? _x0015__x0015_","sí, están bien todos. _x0015__x0015_",ah. de dónde están llamando? de dónde? de donde Mayra? _x0015__x0015_,David fue que me llamó. _x0015__x0015_,de la casa de Mayra? _x0015__x0015_,"David fue que llamó. _x0015__x0015_ no, de aquí, xxx . _x0015__x0015_",,,
768,"eh, todo el mundo quiere ir a la playa, entonces . _x0015__x0015_",bastante  claro. _x0015__x0015_,es Un viaje.  este está congestionado. _x0015__x0015_,todo el mundo quiere ir a la playa? _x0015__x0015_ se congestiona el tráfico. _x0015__x0015_,"sí, se congestiona y el viaje se, a veces sale como dos horas ymedia, tres horas. ","pesado, sí pues. _x0015__x0015_",todo el mundo metido en el carro.,,sí. _x0015__x0015_,,,
769,"me me acababa de salir Del baño, estaba bañando. _x0015__x0015_",&+tabas que estabas haciendo ahorita? _x0015__x0015_,ah? _x0015__x0015_,te . _x0015__x0015_ te estabas bañando? o sea que tienes el pelo mojado xxx . _x0015__x0015_,sí estoy empapada.,,mhm y todavía tienes el color Del pelo? _x0015__x0015_,"xxx  . _x0015__x0015_ sí todavía amarillo, Mi hija. _x0015__x0015_",ah mejor no hay que dejarse a ser . _x0015__x0015_,,,
770,"sí, y entonces él está tocando en los cultos y . _x0015__x0015_",de verdad? _x0015__x0015_,entonces aquí él,ya está tocando? _x0015__x0015_,sí. _x0015__x0015_,cónchale . _x0015__x0015_,,"oye y está bien, me está, me ganó a mí . _x0015__x0015_",,,,
771,,es Un coquetón y Un conversador de primera . _x0015__x0015_,ah sí? _x0015__x0015_,Tu papá? _x0015__x0015_,sí. _x0015__x0015_,Tu papá está en perú. _x0015__x0015_,ah y cuándo se va a brasil? _x0015__x0015_,ah en noviembre. _x0015__x0015_,y cuándo regresa? _x0015__x0015_,,,
772,,sí estoy empapada.,te . _x0015__x0015_ te estabas bañando? o sea que tienes el pelo mojado xxx . _x0015__x0015_,mhm y todavía tienes el color Del pelo? _x0015__x0015_,"xxx  . _x0015__x0015_ sí todavía amarillo, Mi hija. _x0015__x0015_",ah mejor no hay que dejarse a ser . _x0015__x0015_,"si me . _x0015__x0015_ ay no lo quiero pintar . _x0015__x0015_ tú, tú todavía te lo pintas amarillo? _x0015__x0015_",no hay que dejarse salir raíz. _x0015__x0015_,ah? _x0015__x0015_,,,
773,,xxx . _x0015__x0015_,"David fue que llamó. _x0015__x0015_ no, de aquí, xxx . _x0015__x0015_","está bien, Ella? _x0015__x0015_","sí, está bien, hoy Esta tarde fue que Le dio dizque Una cosa que aElla Le da cuando está haciendo popú, dizque Un dolor. _x0015__x0015_","ah, oh. _x0015__x0015_","que suda muchí- sí, se dio Un sudo, porque sudó mucho y estabafría. _x0015__x0015_","oh, sí, sí. _x0015__x0015_ como si fuera unos cólicos. _x0015__x0015_","ah, exactamente. pero ya está bien. _x0015__x0015_",,,
774,"ya, pero el vuelo de nueva York a toronto dura más que nove- cosade cincuenta minutos Nada más. _x0015__x0015_",ya. _x0015__x0015_,ahí sí se llenó. _x0015__x0015_,y no hay Un vuelo que sea de miami a toronto de frente? _x0015__x0015_,"hay vuelo de miami a toronto, pero si ya te pusieron la docecuarenta y cuatro quédate con ésa nomás porque . _x0015__x0015_ si cambias de fecha pagas cincuenta dólares de castigo. _x0015__x0015_ ya. _x0015__x0015_","ya, pero . _x0015__x0015_","y hay uno que creo que sale a las siete de la noche, me dijo quesalía, entonces yo dije, . _x0015__x0015_ total si salgo a las siete de la noche voy a llegar acá como a lasdiez, entonces . _x0015__x0015_ además ya ustedes se habían ido, así que yo que hago con quedarmehasta las siete. _x0015__x0015_","sí pues, pero Julia por qué hizo e- ese vuelo? _x0015__x0015_","&+al   . _x0015__x0015_ bueno, Julia no hizo eso, sino que eso Le Han dado en american",,,
775,"claro, por lo &+m . _x0015__x0015_","claro, pues, porque Mira . _x0015__x0015_ se supone de que tú . _x0015__x0015_ vas a comprar Tu pasaje de Ida y vuelta y cuánto te cuesta Tu . _x0015__x0015_",como mínimo?,"pasaje de Ida y vuelta? son unos mil docientos, mil trecientos. _x0015__x0015_",como . _x0015__x0015_ sí. _x0015__x0015_,y bolsa de viaje. _x0015__x0015_,mhm. _x0015__x0015_,también se supone que tienes que llevar bolsa de viaje. _x0015__x0015_,sí. _x0015__x0015_,,,
776,,,your time is almost over@s. _x0015__x0015_,ése fuiste tú? _x0015__x0015_,sí. _x0015__x0015_,idiota. _x0015__x0015_,xxx . _x0015__x0015_,parece Una mujer. _x0015__x0015_,déjamelo repetirte  . _x0015__x0015_,,,
777,"de que yo . _x0015__x0015_ como pude salí Del carro . _x0015__x0015_ que si siquiera podía caminar porque yo estaba que cojeaba, no vesque la r- u-, la rodilla derecha se m-, me afectó mucho más. _x0015__x0015_",mhm. _x0015__x0015_,"pero fíjate cómo habrá sido, que, que e-, tanta rabia habré tenidode que me habían destrozado el carro . _x0015__x0015_","pero y, y, y tú no tenías seguro? _x0015__x0015_","ah sí, sí, sí estamos en litigios ahora, ay, porque la mujer noquería pagar, . _x0015__x0015_",ah pero eh fue culpa de Ella. _x0015__x0015_,ah sí fue culpa de Ella porque Ella se pasó la Luz roja. _x0015__x0015_,"ay pero es tiene, tiene todo el der-, e-, Ella tiene todas las deperder. _x0015__x0015_","ajá, es más, sabes qué? en la esquina, que yo no sabía . _x0015__x0015_",,,
778,porque ya se nos acaba la visa. _x0015__x0015_,_x0015__x0015_  _x0015__x0015_,"me-, . _x0015__x0015_ si dios quiere sí. o sea de-, deberíamos irnos para allá . _x0015__x0015_"," _x0015__x0015_ a ti se te acaba pero te Dan visa por Rafael, verdad? _x0015__x0015_",a mí sí. _x0015__x0015_,claro. _x0015__x0015_,"o no te dicen . _x0015__x0015_ por la, por la guagua? _x0015__x0015_","n-, &+n . _x0015__x0015_ a no, porque la, la . _x0015__x0015_ claro que seguro después te van a dejar por la guagua. _x0015__x0015_","sí pero ahora como están con esas nuevas, . _x0015__x0015_",,,
779,ah? _x0015__x0015_,Un llaverito o  algo? _x0015__x0015_,,Un llaverito Le compro? _x0015__x0015_,"sí, cualquier cosa que ahí vean yo porque a él nunca se Le compraNada. _x0015__x0015_","pues déjame que yo veo, ",son caras? _x0015__x0015_,sí. _x0015__x0015_,ya Le quedan pocos chavos verdad? _x0015__x0015_,,,
780,sí. _x0015__x0015_,por el idioma. _x0015__x0015_,xxx . _x0015__x0015_,"entonces me dijo que . _x0015__x0015_ pero a mí me da miedo que yo, que tenga que llevar después cuatro yque sea muy pesado no? Le dije. _x0015__x0015_",sí. _x0015__x0015_,,verano . _x0015__x0015_,pero a mí no me van a pagar verano. _x0015__x0015_,ajá . _x0015__x0015_,,,
781,"pues déjame que yo veo, ","sí, cualquier cosa que ahí vean yo porque a él nunca se Le compraNada. _x0015__x0015_",Un llaverito Le compro? _x0015__x0015_,son caras? _x0015__x0015_,sí. _x0015__x0015_,ya Le quedan pocos chavos verdad? _x0015__x0015_,,ya Le quedan pocos chavos? _x0015__x0015_,"sí, Mi hija. _x0015__x0015_",,,
782,y duré medio- xxx . _x0015__x0015_,tú sabes lo que es eso? _x0015__x0015_,"me internaron duré mediodía, duré interna me pusieron suero porqueel médico me dijo que estaba demasiado deshidratada tú ves. _x0015__x0015_",y el trabajo está bueno? _x0015__x0015_,sí está bien el trabajo. _x0015__x0015_,ay dios y tú no te has llamado Al consulado para chequear Nada? _x0015__x0015_,"no porque como mamá me dijo, que tú Le habías dicho que el abogadohabía llamado. _x0015__x0015_",sí pero debes de darte Una llamadita para que preguntes. _x0015__x0015_,él llamó y Le dijeron fue que la investigación se había terminadoya. _x0015__x0015_,,,
783,mhm. _x0015__x0015_,tiene que ser el agua o los aceites. _x0015__x0015_,Ella no me xxx . _x0015__x0015_,"y Ella, Ella tiene appointment@s pronto? tiene cita? ",el día cuatro. sí. ya el jueves. _x0015__x0015_,qué bueno. ajá. _x0015__x0015_,"ay, sí, ahora que Le digan que sí. _x0015__x0015_","sí, y Tu americano, te está llamando? _x0015__x0015_","ya sabes &+e . _x0015__x0015_ ay, tú lo sabes? ",,,
784,"no sé, yo también te iba a preguntar. _x0015__x0015_","oye, no sé si esos beeps@s serán de . _x0015__x0015_","ah, ya. _x0015__x0015_","pues no sé, es que no me acuerdo. no, pero yo supongo que me b- diría Una voz, no? que ya se va a acabar. _x0015__x0015_",sí. _x0015__x0015_,yo espero. _x0015__x0015_,,,"bueno, de todos modos, pues ya, . _x0015__x0015_  ",,,
785,"salió de cola. o sea, salió . _x0015__x0015_",con colita? _x0015__x0015_,"no. salió exacta, como es así con colita y todo, o sea, no tiene Nadade especial. _x0015__x0015_",xxx . _x0015__x0015_ se tomó la foto con cola? _x0015__x0015_,sí. salió la foto de pelo cogido.,bueno.  y qué más? _x0015__x0015_,"Isabel vázquez salió ahí. _x0015__x0015_ Cathy jiménez . _x0015__x0015_ pues . _x0015__x0015_ Cathy, a mí no me parece que Cathy es Bonita, y ahí salió Bonita. _x0015__x0015_ bueno. _x0015__x0015_  _x0015__x0015_ Paula castellón, horrible. ",,"Sandra Tatiana piedra ahí salió toda seria, pero salió bien. _x0015__x0015_ Erika marín salió Bonita. _x0015__x0015_",,,
786,ah sí? era &+justame . _x0015__x0015_,"mhm. _x0015__x0015_ bueno, porque es el típico la típica cosa que las mujeres hacen. _x0015__x0015_","y después llamo Al día siguiente y me . _x0015__x0015_ ah sí, totalmente, sí, cómo sabes? _x0015__x0015_",son lo-  eh? _x0015__x0015_,"era absolutamente p, sí, era p eh, premenstrual,","eng, sí. _x0015__x0015_",ya ya ya. _x0015__x0015_,"y me llamó Al día siguiente y se reapologize no, uy se me fue lamano, . _x0015__x0015_",claro.,,,
787,,ya Le quedan pocos chavos verdad? _x0015__x0015_,sí. _x0015__x0015_,ya Le quedan pocos chavos? _x0015__x0015_,"sí, Mi hija. _x0015__x0015_",cuánto Le queda? _x0015__x0015_,"no preguntes por favor,  ",te quedará veinte pesos? _x0015__x0015_,"sí. _x0015__x0015_ tú estás . _x0015__x0015_ estás ahí tanteando, ",,,
