,question,answer
6036,진열 된 건 모형이죠?,"네, 진열 된 것들은 모형입니다"
6040,진로를 하면 고등학교에서 시작하는 경우도 있나요?,네 있어요
6045,진량에요?,네
6046,진동벨이 울리면 받으러 오세요,네 감사합니다
6049,진그레이다 이거는 그죠?,네
6050,직접 확인해 볼 수 있을까요?,네 바로 보실 수 있으세요
6052,직접 찾으러 가면 할인되나요?,"네, 2000원 할인됩니다. "
6054,직접 전화하는 게 가격이 더 낫겠네요?,"예, 계좌이체를 하시면 나중에 할인이 좀 돼요"
6055,직접 볼 수 있을까요?,네 함께 가봅시다
6057,직접 본인 못 가고 대리인가면 안 됩니까?,아 대리인이 오세요 아 번호판 이제 재교부 받는 거 그러면 서류를 제가 좀 불러드릴 테니까  고 분실신고증하고 어 대리인 방문하시는 그 사람의 신분증 그리고 차주의 신분증 그리고 차주의 아무 막도장 하나 예 그리고 자동차등록증 예 그리고 책임보험은 당연히 가입되어 있으실 거고 그러면은 분실신고증을 가지고 선생님 고 이십사시간 안에는 번호판이 없어도 운행을 할 수 있습니다.
6058,직접 보신 적은 없으시죠?,네 없습니다
6059,직접 보고 싶은데 볼 수 있나요?,네 공실이라 가능해요
6066,직접 만드신 거예요?,예
6067,직접 만드시는 거예요?,네
6068,직접 만드시는 거예요?,네 수제화라서 사이즈 안 맞으시면 주문하셔도 돼요
6069,직접 만드셨구나?,공방에서 나오는 거예요
6070,직접 디자인 의뢰도 할 수 있나요?,네 가능합니다
6071,직접 금방 빚으시네,네
6072,직접 갖고 와야 해요?,"네, 직접 방문 하셔야 됩니다"
6076,직장 주소는 바로 밑인데 그 쪽으로 와주세요,네 직장 주소로 수거하도록 하겠습니다
6080,직원 5명 정도와 같이 사용할 수 있는 사무실 임대할 수 있을까요?,네 땡땡 오피스텔에 물건이 많이 나와있어요
6081,직불 카드도 되지요?,네
6088,지하에 주차하면 무료인가요?,네 무료입니다
6094,지퍼 같은 거 고장 나면 수선도 해줘요?,네 지퍼 고치는 건 16000원입니다
6095,지코바가 종류가 몇 가지죠?,네 뼈 있는 거 있고 순살 있고 종류는 두 가지와 소금구이 나가고 그렇습니다
6097,지정석도 있어요?,"네, 지정석은 선착순이라서 늦게 오시면 안되고 자유석으로 됩니다"
6109,지역은 상관 있어요?,"아뇨, 이 동네면 돼요"
6113,지분율은 그러면 변동없이 하실건가요 선생님,그렇죠. 변동없이 해도 관계없어요.
6116,지방세 지방세 그거 때문에 압류가 돼 있어요.,우선 확인해 보니까 압류 한 건 있는데 경산시청에 예 지방세 체납으로 조회되고 있습니다.
6124,"지나가다 보니까 탈모 제품 광고가 보여서 들어왔는데, 약 복용하는 건가요?","네, 먹는 약으로 보통 영양제 개념으로 보시는 게 맞습니다"
6125,지나가는 길에 들렀는데 매직하고 파마 알아보려고요,손님은 파마가 더 어울리실 것 같네요
6128,지금은 초반 보다 더 비싸가 나가겠죠?,"네, 지금은 세입자 사정으로 나가고 그런 분 밖에 없으니까요"
6129,지금은 전체 세일 기간인가 봐요?,네
6131,지금은 일본 제품으로 하시는 거예요?,네
6138,지금은 알 수 없나요?,"네, 고객님의 머릿결을 확인 한 후에 알 수 있습니다"
6145,지금은 런치메뉴 주문 가능한가요?,아 네 지금 시간부터 런치 메뉴 가능하세요
6146,지금은 대출 이자율이?,3.3퍼센트 대 초반 정도예요
6150,지금도 저 파저팩 받고 계세요?,"네, 다른 것도 스포츠도 하고 경락도 하고 알통 관리도 해요. 언니 같은 경우는 지금 얼굴이 좀 처졌잖아요, 얼굴 동안 관리도 이만오천원밖에 안 해요. 팔자주름 없애는 거는 기가 막힐 걸요"
6151,지금도 브런치 할인하나요?,네 10시까지 하고 있습니다
6155,지금 확인해 보니까는 한 세시 십분 경에 지나간 버스로 확인이 되는데 이 시간대가 맞나요,예 좀 전에 한 한 지나 간지는 오 분밖에 안 된는 같은데
6156,지금 확인해 보니 모닝 차량으로 나오는데 맞습니까 선생님,예 예 예 예 예 예
6158,지금 혹시 그 차량번호가 녹색 지역번호판은 아니시구요,예 그건 아닙니다.
6160,지금 현재 차량번호 확인 가능하십니까?,사십칠 다람쥐할 때 다예 삼공삼팔번입니다.
6167,지금 현금이 없는데 혹시 현금가인가요?,네 카드로 하시면 부가세 10프로 붙으세요
6169,지금 행사기간인가요?,네
6170,지금 행사 기간인 갑다 그죠?,아뇨 가격을 낮춘 거예요
6171,지금 해주세요,네 해드릴게요
6172,지금 해당 차량 산타페 차량으로 확인이 되고 있구요,네 맞습니다
6174,"지금 한 개 있는데, 총인원이 8분이죠?","네, 8명이에요"
6177,지금 하나 먹게 비타민 음료도 같이 주세요,네 5800원입니다
6181,지금 파마할 수 있나요?,네.
6183,지금 파마하면 6시까지 나오나요?,네 시간 충분해요
6185,지금 파동 우체국쪽에서 봐드리면 될까요,파동 예예 해도 나는 신세계쪽이니까 버스는 예 중간중간 바뀌니까
6190,지금 커피 주문 가능한가요?,네 주문 말씀해주세요
6191,지금 커트 될까요?,네 손님 지금 가능합니다
6194,지금 커트 가능한가요?,5분 뒤에 예약 손님이 계신데요
6195,지금 커트 가능한가요?,네 가능합니다
6197,지금 카드 되죠?,네 됩니다
6200,지금 치킨 주문 가능한가요?,네 가능합니다
6203,지금 출발하면 되나요?,네
6204,지금 출발하나요?,네
6206,지금 체크인할 수 있나요?,"네, 체크인 가능 시간은 오후 4시부터입니다"
6208,지금 체크인 도와주실래요?,"네, 예약하신 방은  블루방이고 여기 키 있어요"
6209,지금 철에 입을 수 있을까요?,이거는 지금 철에 딱 입기 좋은 거예요
6210,지금 처음 배우는건가요?,네 처음 배우는데요
6211,지금 채권자분께서 직접 방문이 가능하십니까,예 방문도 가능하고 꼭 방문을 해야 되는거예요 그거는
6213,지금 차주 본인께서 방문 가능하신거 맞습니까,예
6215,지금 차가 거 번호판이 초록색인데 옛날 거 그 하얀색으로 바꿀라 카는데 그 비용이라 그 가면 바로 바꿀 수 있어요.,예 우선 보통 한 삼십 분 정도 당일처리가 가능한 부분이고 이제 번호판대금이 보통예 앞뒤 번호판 봉인까지 이렇게 변경하셔야 되고 또 그 다드 테두리 비용이라든지 탈부착 비용도 다 포함이 되기 때문에 대략 한 삼만원 정도로 부담을 하시게 되는 겁니다.
6217,지금 집 좀 보러 갈 수 있나요?,"네, 제 차로 함께 가시죠."
6220,지금 직접 가볼 수 있나요?,"네, 그럼요."
6223,지금 중1 올라가는데 영어 배울 수 있나요?,네 물론이죠
6224,지금 주시는 영양제는 건강기능식품처럼 먹는 거예요?,네 영양제는 일 년은 먹어야 좋아져요
6232,지금 주문이 밀려있어서 10분 정도 기다리셔야 하는데 괜 찮으세요,네 기다릴게요
6233,지금 주문되나요?,네
6234,지금 주문 변경 가능한가요?,네
6235,지금 주문 가능한가요? ,네 8시까지 주문 가능합니다
6236,지금 주문 가능한가요?,네 가능합니다
6237,지금 주문 가능한가요?,네 주문해주세요
6243,지금 제가 일반적인 서류 말씀드리면 혹시 차 번호가 대구나 경북 들어가는 지역 번호판은 아니시죠.,네
6245,지금 제 모발도 많이 약하죠?,"네, 모발이 약한 편입니다"
6247,지금 제 머리에 염색 가능할까요?,"네, 가능합니다."
6248,지금 전화주신 선생님이 양수인이시구 그러시면 차량등록사업소 방문하실 때 양수인은 방문 안 하시고 선생님만 방문을 하시는 건가요,네
6249,지금 전화주신 선생님 본인꺼 신청하시는 겁니까,네네
6250,지금 전화주신 선생님 본인 꺼 신청하시는 거세요 ,예 본인 거예요
6251,지금 전화주신 분은 지금 김선재 선생님과 가족관계 되시는 건가요,네 이제 결혼할 건데
6261,지금 자리 있나요?,네 있습니다
6262,지금 자리 있나요?,네 있어요
6263,지금 자리 있나요?,무인결제기 통해서 확인해보시는 게 빠르실 거예요
6266,지금 입실해도 돼요?,"네, 여기 키 드릴게요"
6267,지금 입실 가능한가요?,"네, 키 드릴게요"
6269,지금 입금해도 되죠,예 선생님 일월 삼십일일까지 납부하셔야 되시니까요
6270,지금 일학년입니까?,네
6271,지금 일학년 되는 거예요?,네
6272,지금 일단 이 형식이 이천십삼년도 식이죠.,네 십삼년 일월 이십일일 등록이요
6274,지금 이쪽 동에서는 작은 평수는 저 위에 있는 걸로 아는데 맞나요?,네 #주소#가 작은 평수가 있습니다
6275,지금 이전하는 차량이 머 대구나 경북이 들어가는 지역번호는 아니신거죠,네 아니예요
6276,지금 이용 가능한가요?,네 가능하세요
6277,지금 이미 등록한 차량 아니신가요 쌤님,예 등록한 차량인데 최초 등록할 때 그 금액을 좀 알고 싶어가꼬
6281,지금 이 차량 비엠더블유 차량 확인되는데 맞습니까?,예 맞습니다.
6283,지금 이 옷 남아있는 사이즈가 별로 없나요?,네
6286,지금 요리돼요?,네
6287,지금 요게 이찹니까?,"네, 이게 한국 2차예요"
6289,지금 예약해주시겠어요?,"네, 잠시만 기다려주세요"
6292,지금 예약 손님들 먼저 해드리고 있어서 15분 정도 기다리셔야 하는데 괜찮으신가요?,네 괜찮습니다
6293,지금 예약 가능한가요?,성수기 특별 할인 예약은 마감됐고 일반 예약 가능해요
6294,지금 영업하시나요?,네 오늘은 일찍 문 열었어요
6296,지금 영업하고 계시나요?,네 영업 중입니다
6297,지금 영업 해요?,"네, 하고 있어요"
6299,지금 영양제는 따로 안 챙겨드시나요?,"그 전에는 정관장 거랑 홍삼정이라는 물에 희석해서 먹는 거 그거 한 숟가락씩 먹었었는데, 지금은 먹는 게 없네요"
6300,지금 여기 평리 육동에 에이동 전체다 수돗물이 안나와요,예 맞습니다 선생님 지금 오늘 오후에 평리 지하도쪽에 공 다른 공사를 하다가 수도관 건드려서 상수도관이 파손이 됐어요 그래서 지금 복구를 하고있는데 시간이 조금 많이 걸린다고 합니다 그래서 평리 육동 일대가 지금 단수가 되고 있어요
6301,지금 여기 있는 게 다예요?,네 다예요
6311,지금 안에 들어가는 게 돼지고기죠?,예예
6313,"지금 아파트 작은 평수는 동향이고, 이 근처로 하시게요?",네
6314,지금 아파트 매매나 전세 찾고 계신 거죠?,네
6319,지금 식사돼요?,네
6320,지금 식사돼요?,네
6323,지금 식사 가능합니까?,네 
6328,지금 시각으로 그러셨습니까?,네
6329,지금 순대전골은 1인분은 안 되죠?,네 1인분은 없습니다
6330,지금 숙박할 수 있나요?,"네, 가능하세요"
6332,지금 숙박 가능한 방 있나요?,"네, 숙박하실 방 있어요"
6334,지금 수업하고 계시는 건가요?,네 수업 시간인데 학교 방학이고 설 쉬고 해서 애들이 좀 없습니다
6335,지금 수선 맡길 수 있나요?,"네, 수선 가능합니다"
6336,지금 수리공을 보내드리려 하는데 괜찮으세요?,네 최대한 빠르게 부탁드려요
6339,지금 세일행사 하나요?,네
6340,지금 세일행사 하나요?,"네, 세일 가격표 붙어 있어요"
6341,지금 세일행사 하나요?,"네, 천천히 구경해보세요"
6343,지금 세일한 거죠?,네 40% 세일 들어갔습니다
6346,지금 세일하는 건가요?,네 색깔 예뻐서 데일리로 신으실 수 있을 거예요
6348,지금 세일하나요?,네 저희 겨울 시즌 세일하고 있어요
6349,지금 세일중인가봐요?,예 맞습니다 
6351,지금 세일 중인가요?,네 이번 주까지 30% 세일입니다
6353,지금 세일 기간이에요?,네 당분간은 할 거 같아요
6355,지금 세일 기간으로 알고 있는데 매장에서도 할인되나요?,네 20프로 할인 중입니다
6357,지금 선생님 가족간에 이전이기 때문에 따로 차를 사는 매매금액은 없으신거죠,예
6363,지금 새로 짓는 데가 많아서 전세가 많이 없는가보다. 그죠?,"네, 근처에 이사 올라는 분이 많아요"
6364,지금 상인 나이트 자리 말고 옛날 상인나이트 자리 크로스에스 당구장이라 카셨죠?,네
6373,지금 사용하면 되나요?,네 바로 사용하시면 됩니다
6374,지금 사무실이 낡아서 그런데 빨리 구할 수는 없는 건가요?,그렇게 되면 지금 조건보다는 조금 안 좋은 곳으로 될 것 같습니다.
6376,지금 사면 할인되나요?,네 지금 세일 기간이라 할인됩니다
6377,지금 사망신고는 하셨나요,예
6381,지금 빈집으로 있는 매물이 있어요?,예 42평 하나는 빈집으로 있습니다
6385,지금 비어 있나요?,네 아무도 없습니다
6387,지금 볼 수 있을까요?,네 가능합니다
6388,지금 볼 수 있을까요?,네 가능합니다
6392,지금 볼 수 있는 빈 집은 없나 보네요?,"집 보시려면 토요일 한 시까지, 평일은 오후 네 시까진 오셔야 해요"
6394,지금 볼 수 있나요,네 아직 장사 중이긴 한데 곧 뺄 곳이라 괜찮아요
6395,지금 볼 수 있나요,네 잠시만 기다리세요
6397,지금 보쌈 주문되나요?,네 주문됩니다
6398,지금 보리밥 되나요?,네
6399,지금 보러가도 되나요?,"네, 비어있는 집이에요."
6400,지금 보러 갈수 있나요?,네 저랑 같이 가시지요
6401,지금 보러 갈 수 있을까요?,네 가시죠
6403,지금 보러 갈 수 있나요?,네 그럼 지금 보러 가시죠
6404,지금 보러 갈 수 있나요?,네 물론 가능하지요
6405,지금 보러 갈 수 있나요?,네 물론이에요
6408,지금 보러 가도 되나요?,"네, 가능합니다."
6409,지금 보러 가겠습니다,네 지금 가겠습니다
6411,지금 법인 승용차를 개인에 살라 카는데 필요한 서류,예 자동차 등록증 가져오시면 되고요 예 그리고 자동차 매도용 법인 인감증명서가 필요합니다.
6412,지금 번호판이 훼손되셔서 교체하시는 거 맞습니까?,예
6413,지금 버스타고 계신 거에요,예 버스타고 있
6416,지금 배달하시나요?,네 말씀하세요
6418,지금 배달되나요?,네
6419,지금 배달되나요?,네
6420,지금 배달되나요?,네 11시까지 배달됩니다
6421,지금 배달되나요?,네 가능합니다
6422,지금 배달되나요?,네 가능합니다
6423,지금 배달되나요?,네 가능합니다
6424,지금 배달되나요?,네 가능합니다
6425,지금 배달되나요?,네 지금 됩니다
6426,지금 배달되나요?,네. 지금 가능합니다.
6427,지금 배달되나요?,아 네 배달됩니다
6428,지금 배달돼요?,네
6429,지금 배달 되나요?,네
6433,지금 배달 가능한가요?,네
6434,지금 배달 가능한가요?,네 가능하십니다
6435,지금 배달 가능한가요?,네 가능합니다.
6436,지금 배달 가능한가요?,네 말씀 하세요
6437,지금 배달 가능한가요?,네 배달 가능합니다
6439,지금 방학기간이여서 사람이 많이 없는가봐요?,네 방학기간이여서 사람이 줄었습니다
6442,지금 방 있나요?,"네, 방 있어요"
6443,지금 방 있나요?,"네, 방 있어요"
6444,지금 방 있나요?,"네, 빈 방 있어요"
6445,지금 방 있나요?,"네, 있어요"
6447,지금 바로는 어렵고 30분 정도 대기하셔야 합니다,네 그럼 기다릴게요
6448,지금 바로 할 수 있을까요?,네 샴푸부터 해드리겠습니다
6450,지금 바로 체크인할 수 있나요?,"네, 체크인 가능해요"
6452,지금 바로 이용할 수 있나요?,"네, 바로 사용하실 수 있어요"
6456,지금 바로 볼 수 있나요?,네 잠시만 기다려 주세요
6457,지금 바로 먹고 싶은데 물 좀 주실 수 있으세요?,네 따뜻한 물로 드릴게요
6458,지금 바로 드시는거에요?,네
6461,지금 바로 갈 수 있나요?,네 집주인도 계세요
6465,지금 문의주시는 차량의 일반 자가용 승용차량 맞으시죠.,네 네
6466,지금 문 열었나요?,"네, 문 열었습니다."
6467,지금 무인 결제기로 결제가 안되는 건가요?,네 지금 무인결제기 고장으로 카운터에서 도와드리겠습니다
6470,지금 멀리 사세요?,네
6471,지금 먹을려는 건 아니구요 오면 삼사분 정도만 기다리면 되는거에요?,네
6473,지금 머리 자를 수 있나요?,네 가능합니다
6474,지금 머리 가능한가요?,네 가능합니다
6475,지금 맥스크루즈 차량으로 확인되는데 맞습니까?,네 맞아요
6476,지금 매물 보러 가도 되나요?,"네, 가능합니다."
6478,지금 매매가가 오른 가격이 아닌가요?,"네, 조금 더 올라갈거예요"
6480,지금 말차 케이크는 품절인 거죠?,네 죄송하지만 말차 케이크는 품절되었습니다
6482,지금 많이 타이트하신가요?,아니 그렇게 타이트하지도 않아 딱 좋아요
6483,지금 만나러 갈 수 있을까요?,네 같이 가시죠
6484,지금 마라톤 중인 거 혹시 그 길 좀 알 수 있나요 지금 상동 수성사가 시교육청 쪽 대구공항 쪽으로 빠지는 길 좀 혹시 알 수 있을까요 지금 너무 통제 중이라서 어딘지 몰라가지고,네 아 수성네거리 수성에거리 쪽은 지금 수성네거리 쪽에서는 하 어디 가셔도 다 밀리지 싶은데 일단 선생님 수성네거리에서 어쨌든 골목으로 하셔서 엠비시네거리까지는 나가셔야 돼요
6486,지금 런치 세트 주문 가능한가요?,네 세시까지 가능합니다
6487,지금 라면하고 햄버거 주문할 수 있나요?,네 라면하고 불고기버거 있습니다
6492,지금 등록되어있는 차량이 선생님 단독으로 등록되어있는 차량 맞으신가요,예예
6494,지금 두피 상태가 괜찮나요?,조금 손상이 되긴 하셨네요
6495,지금 된다고 하나요?,네 지금 가능하다고 하네요
6501,지금 다 신상으로 나온 거다 그죠?,네 봄 신상이에요
6503,지금 다 볼 수 있을까요?,네 지금 사시는 분께 연락해보겠습니다 
6505,지금 네 명 자리 있나요?,네 들어오세요
6510,지금 급한 일이 있어서 나중에 다시 와도 되나요?,네 영업시간 내라면 언제라도 오셔도 됩니다
6517,지금 교통이 좋은 쪽으로 알아보고 있어서 이 동네나 아#주소# 쪽으로 알아보는 데요,"네, 저희한테 의뢰하시면 아#주소# 이외에도 구해드릴 수 있습니다"
6518,지금 괜찮은 방이 나온 게 있나요?,네 이틀 전 아주 좋은 방이 나온 게 있습니다
6520,지금 고등학교 1학년인데 입시 미술 가르치시나요?,네 입시 미술 가르칩니다
6525,지금 계시는 곳이 달서구 상인동이신가요,예 예
6526,지금 겨울용품 세일하는 건가요?,아니요 그거 봄 신상이예요
6527,지금 겨울 옷은 없어요?,네
6528,지금 거기도 문을 열어놨을까요?,네 아마 오픈했을 거예요
6529,지금 개인 그 단독 명의로 등록되어 있는 차량이세요,그렇죠.
6530,지금 같은 종의 모델 맞으세요,예 예 남바라도 불러드릴게요 그러면
6531,지금 같은 경우는 인제 내년 이천십칠년으로 넘어가면 이천십칠년 지금하는 것보다 이천십칠년도에 예를 들어 등록하면은 세금 혜택이 좀 더 있겠네요 해가 넘어가니까,아 네 맞습니다. 그럴 경우가 좀 많으시구요
6532,지금 가지고 있는 여권 사용할 수 있는지 여행사로 물어볼까예,예 그렇게 해서 이 여권으로도 갈 수 있는지 왜냐하면 나라마다 허용이 되는 여권이 있고 안 되는 여권이 있어가지고 안 된다 그러면 다시 여권을 이제 새로 만드셔야 되는 부분이 있거든요
6533,지금 가서 직접 볼 수 있을까요?,네 지금 가서 볼 수 있습니다
6535,지금 가서 볼 수 있을까요?,네 그럼요
6536,지금 가서 둘러볼 수 있을까요?,네 지금 가능하니 함께 가시죠
6537,지금 가면 빈 당구대가 있나요?,네 중대 2곳 대대 1곳 비어 있습니다
6543,지금 pc 자리 있나요?,네 자리 있습니다
6544,지금 9개월 아기인데 사이즈 있나요?,네 있습니다
6545,지금 8인실만 있는 거예요?,"네, 이용하시려면 다인실 이용해야 됩니다."
6546,지금 4자리 있어요?,네 오른쪽 구석 끝으로 가세요
6547,지금 4인실 밖에 없는데 괜찮으신가요?,"네, 괜찮습니다"
6548,지금 4명 예약하려고 하는데 자리 있나요?,네 자리 있습니다
6550,지금 1인 객실 있나요?,"아뇨, 1시간 정도 후에 이용할 거예요"
6554,지금 #주소# 매매 나온 거 아무것도 없어요?,"네, 가끔 어쩌다 하나씩 나와요"
6555,지금  4명 식사할 수 있나요?,네 가능하세요
6558,지갑도 세일 안 하시죠 지금?,네
6562,증세가 어떠신데요?,목에 가래가 껴서 코 뒤로 넘어가네요
6579,증상이 나아지지 않는다고 생각되면 병원에 방문해보셔요,네 병원 방문해볼게요
6580,즉시납부로 가능할까요?,네 즉시납부 계좌 알려드릴게요
6581,중화요리죠?,네
6582,중화 비빔밥은 좀 덜 짜게 해주시면 안돼요?,네
6586,중화 비빔밥 하나 주세요,네 잠시만 기다려 주세요
6595,중학생은 돼요?,"네 초, 중 다 돼요"
6596,중학생들은 많나요?,그렇게 많지는 않습니다
6598,중학생도 여기 많아요?,네 있어요
6599,중학생도 수업해요?,네
6600,중학생도 수업해요?,네 해요
6601,중학생도 수업하지예?,네 상담해드릴게요
6602,중학생 영수 좀 알아보려고,네 잠깐 들어오세요
6604,중학생 반이 있어요?,네 중학생 반 있어요
6608,중학생 남자애인가요?,여자예요
6613,중학교는 경운으로 보내실 생각이십니까?,네
6615,중학교 일학년인데 수학도 하나요?,네 수학반 수업도 합니다
6622,중학교 2학년?,네 여자애요
6623,중학교 2학년 여자애 다이어트 겸 태권도 배우려는데,네 가능합니다
6630,중식점이에요?,네
6631,중식 A코스로 일단 5인 주문할게요,네 중식 A코스로 준비해 드릴게요
6633,중삼 돼요?,네 중삼 돼요
6636,중국집인가요?,네 맞습니다
6637,중국집에서 배달시켜먹어도 되죠?,네 저쪽에 테이블 있어요
6639,중국집 전화번호 좀 주시겠어요?,네 짜장 당구대에 흘리지 말아 주세요
6642,중국집 아닌가요 반점?,예예 맞아요
6643,중국집 번호 있나요?,네 여기로 전화해보세요
6645,중국집 명성루죠? 배달 지금 가능한가요?,예 배달 가능합니다
6646,중국음식 배달됩니까?,네 배달됩니다
6648,중국어 기초반이 있어요?,네 있습니다
6649,중국성이죠?,네
6650,중국 학교 보내시려고요?,네 생각 하고 있어요
6652,중고차를 하나 직접 매도하는 사람하고 직접 이야기 해 가지고 차를 하나 구입했는데 차량 그 등록 할라카면은 자동차등록증 있어야 되고 그 다음에 자동차 양도증명서 즉 거래용카는 거 적었는거 요거하고 또 다른 것도 필요합니까?,예 그러시면 그렇게 준비하셔가지고 그러면 양수 인수 받으시는 분께서는 받으시는 차량에 대해서 책임 보험 미리 가입 해 놓으시고요 받으신 서류하고 신분증 지참하셔서 등록사업소로 방문을 하시면 되시고요 방문하시면 아까 말씀드렸던 이전등록신청서가 비치가 되어 있기 때문에 그 부분은 양수인께서 작성하시면 되세요
6655,중고차량 맞으시고요?,예
6656,중고차 이전 등록 말씀하시는 거 맞으시죠.,예 맞아요 맞아요 중고차
6660,중개비 할인도 되나요?,네 30프로 할인해드리고 있습니다
6661,중개료 현금영수증 되나요?,"네, 발급해드립니다."
6662,중개료 법인카드로 결제 가능한가요?,"네, 가능합니다."
6665,중간에라도 전세 나오면 제가 전화 한 번 드릴까요? 번호 알려 주실래요?,"네, 그래 주세요. #전화번호#요"
6666,중간에 자장면을 시켜 먹을 수 있나요?,네 저에게 메뉴 얘기하시면 대신 시켜드리기도 해요
6667,중간에 있는 거요?,네
6668,중간에 음식을 먹을 수 있습니까?,네 배달시키시면 됩니다
6671,중간 정도로 해서 짬뽕 주세요,네 잠시만 기다려 주세요
6672,중간 자리에 앉으세요,네 그럴게요
6673,중간 사이즈 두 개짜리도 있나요?,네 작은 거요
6676,중간 맛 떡볶이는 매운 맛이 중간이라는 거예요?,예
6680,중1인데 테스트를 해야 되지예?,네 해야됩니다
6682,중1 학년도 할 수 있는 거죠?,네 할 수 있어요
6686,줄도 18k요?,네
6690,줄넘기도 가르쳐주나요?,네 줄넘기도 합니다
6697,주택이면서 앞에 상가죠?,"네, 일층에 상가고 다 주택이죠"
6700,주택을 보시는 거예요?,"네, 와촌 쪽도 괜찮아요"
6702,주택은 안되죠?,지금 사는 곳이 주택이라 춥고 더워서 별로예요
6704,주택 좀 알아보려고요,네 어서 오세요
6712,주차할 수 있는 시섵같은 거는 있나요?,예 주차장은 건물 주차장 사용하시면 됩니다
6716,주차할 수 있는 시설도 있구요?,예 주차시설 있습니다
6719,주차할 수 있는 공간은 있을까요?,예 주차공간이 따로 있습니다
6722,주차할 수 있는 공간같은 건 있나요?,예 주차장이 있습니다
6730,주차하기에 편리합니까,네 불편함 없이 편리합니다
6739,주차장은 있나요?,"네, 주차장 있어요"
6749,주차장은 따로 없나요?,네 주차장은 따로 없습니다
6750,주차장은 가게 맞은편 맞나요?,네 가게 바로 옆에 큰 주차장에서 무료로 사용 가능합니다
6752,주차장도 있지요?,네 있습니다
6756,주차장 있나요?,네 건물 뒤에 있어요
6758,주차요금 30분은 무료고 넘으면?,"네, 그리고는 나가실 때 그냥 결제하시면 돼요"
6760,주차시설은 따로 없으시구요?,네 주차시설은 따로 없습니다
6762,주차비용은 따로 내나요?,무료예요
6764,주차비는 따로 없나요?,"네, 편하신 곳에 주차하시면 돼요"
6765,주차도 되나요?,"네, 가능해요"
6766,주차도 다 되구요?,"네, 주차 다 가능해요"
6767,주차도 가능한가요?,네 2시간 무료로 건물 주차장 이용하시면 돼요
6769,주차단속 차가 다니나요?,네 저번 주부터 한 번씩 주차단속을 나와요
6775,주차는 이 앞에 세워 놔도 돼요?,네 상관없습니다
6777,주차는 요 앞에 하면 돼요?,예
6778,주차는 여기 해도 괜찮은가요?,"네, 괜찮아요"
6779,주차는 여기 하면 돼요?,네
6804,주차는 앞에 하면 돼요?,네 앞에 하시면 돼요
6805,주차는 아파트 옆에 하면 돼요?,네 나들이 여기 옆에 하면 됩니다
6806,주차는 아무 데나 해도 되겠죠?,뭐 사람도 별로 안 다니고 해서 입구에 주차해도 될 거예요
6807,주차는 상가 지하에 주차하면 되나요?,네 주차권 드립니다
6808,주차는 바로 옆 도로변에 되는가예?,네 바로 싣고 나가실 수 있게 포장 해 놓을게요
6813,주차는 따로 할데 없어요?,네 따로 없으세요
6814,주차는 다 할 수 있나요?,"네, 기본적으로 주택 지을 때 주차가 들어오게 돼있어요"
6817,주차는 그 앞에 하면 되겠네예?,네
6820,주차는 가게 앞에도 해도 되나요?,네
6823,주차권도 있어요?,예
6825,주차권 있나요?,네 식사 후 드리겠습니다
6826,주차권 발행이 될까요?,네 만 원 이상 주문 고객에게 발행되고 있습니다
6827,주차권 끊어주실 수 있나요,네 저희 pc방 이용하시면 끊어드릴 수 있습니다
6828,주차권 끊기고 그렇진 않죠?,네
6829,주차공간은 충분하겠죠?,"네, 걱정 안 하셔도 돼요"
6830,주차공간은 있나요,네 3시간 무료주차 가능합니다
6832,주차공간은 따로 있는 거죠,네 2대 주차하실 수 있습니다
6834,주차공간은 넉넉한가요?,"네, 주차 공간은 총 30개로 넉넉한 편이에요"
6837,주차 할인되나요?,네 영수증 보여드리면 돼요
6850,주차 단속은 안하려나?,네 주자 단속은 안 합니다
6856,주인집이라면 그분은 주택에 거주하시는 거 맞으세요 선생님,네 그 주소는 같이 되어 있는데 주택에 그분은 거주하시고 저희는 바깥에 가게를 쓰고 있는데 요금 안내장에 이렇게 보면 주인 집이랑 저희 거랑 따로는 표시가 되거든요 근데 한 장에 같이 나와요
6860,주인 세대 월세도 있나요?,"네, 주인 세대에 월세로도 나왔어요"
6861,주위에는 오피스텔이나 이런 거는 전혀 없네요?,"네, 오피스텔 같은 매물은 없어요"
6862,주위에 주택도 거래 하세요?,"네, 주택도 거래합니다"
6864,주위에 볼만한 관광지가 있나요?,"우리 집에서 아쿠아리움 예약하시면 가격이 저렴하고, 관광지는 10분 거리에 있어요"
6866,주위에 볼만한 곳은 있나요?,여수의 대표적인 관광지는 10분에서 15분 거리예요
6872,주위에 관광지 볼만한 거 있나요?,"추억의 달동네, 성테마파크 러브캐슬, 불국사, 보문단지 근방에 다 있어요"
6875,주스로 바꿔주실 수 있나요?,네 가능합니다
6881,주소지가 북구 칠곡 중앙대로 북삼 오십삼길로 확인되시는데 맞으세요,네 맞아요
6884,주소를 변경했는데 그 주소변경을 해야 돼요 안 해야 돼요,법인이시면 직접 방문하셔서 신청을 예 변경신청을 하셔야 됩니다.
6886,주소는 #주소#입니다,네 감사합니다
6887,주소는 #주소#입니다,네 감사합니다
6890,주소가 몇동 몇호이신지까지만 확인하고 변경해 드리겠습니다.,예 백이동 이백일호요
6891,주소 확인되십니까?,예 대구시 북구 서변동 일칠이칠 다시 삼번지 포시즌
6895,주소 적어드릴게요,내일모레까지 받아보실 수 있으실 거예요
