,question,answer,label
18191,nevşehir kurumsal web sitesi tasarımı yaptırdığımda her yıl aynı ücreti mi ödeyeceğim?,"hayır, her yıl sadece domain, hosting gibi web sitesini oluşturan ana birimlerin uzatılması ödenmektedir. ",no
18208,"bed and breakfast la casa di elide, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
18217,leader mansion hotel & suite misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında indiirmli otopark yok. ",no
18238,the fort budget hotel - bonifacio global city içinde kumarhane var mı? ,"hayır, bu hostel kumarhane içermez. ancak yakında casino filipino (9 dk. araçla gidiş mesafesi) ve city of dreams manila kumarhanesi (9 dk. araçla gidiş mesafesi) bulunur. ",no
18239,"casa linate, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
18241,"apartamentos laguna, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
18242,samsung grand prime pro j250 ekran değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. samsung grand prime pro j250 ekran değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
18257,"la fontaine butik otel, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
18278,project cars 3 türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
18282,"boutique hotel de barones van leyden, misafirlerine otelde otopark imkânı sunuyor mu? ","maalesef hayır, ancak araçlar sokağa park edilebilir. ",no
18291,"afet hanım konağı alaçatı, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
18338,hotel le bayonne içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında capbreton kumarhanesi (20 dk. araçla gidiş mesafesi) ve sporting casino (21 dk. araçla gidiş mesafesi) bulunur. ",no
18342,"abo; geçersiz veriler, başlatılmamış değişkenler ve yeniden derlendikten sonra gerçekleşebilecek aşırı popülasyon gibi enterprise cobol v6 geçişi tehlikeleriyle ilgili sorun yaşar mı?","hayır. abo, doğrudan cobol ikilisinden optimize eder; böylece geçersiz veri, aşırı popülasyona sahip veri öğeleri, parametre boyutu uyuşmazlıkları ve benzeri koşullar karşısında bile aynı program davranışını kopyalar. ",no
18354,vpn kullanmak amazon prime video'da yayın İzleme kalitesini etkiler mi?,"hayır. cyberghost vpn'in amazon prime video için özel sunucuları [mümkün olan en yüksek internet hızından](/tr/fast-vpn) yararlanmanızı sağlar. videoları gecikme veya yüklenmesini beklemeye gerek kalmadan izleyebilirsiniz. hd, 4k ve hatta 8k kalitede berrak videolar izleyebilirsiniz.",no
18393,vistamar içinde kumarhane var mı? ,"hayır, bu tatil parkı kumarhane içermez. ancak yakında puerto de la cruz kumarhanesi (13 dk. araçla gidiş mesafesi) bulunur. ",no
18435,meininger hotel amsterdam amstel havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, meininger hotel amsterdam amstel havalimanına ücretsiz transfer hizmeti sunmamaktadır. [kayak ile en güncel fiyatları şimdi alın!](/amsterdam-otelleri-meininger-hotel-amsterdam-amstel.3658679.ksp)",no
18564,globeen sp otobüsünde tuvalet var mı?,"hayır, globeen sp otobüslerinde genellikle tuvalet yoktur. endişelenmeyin, otobüs yolculuğunuz sırasında tuvalet ve dinlenme molaları verir. mola sırasında yürüyüşe çıkabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
18586,plush farmhouse in bacchereto with swimming pool içinde kumarhane var mı? ,"hayır, bu köy evi kumarhane içermez. ancak yakında lucky slot village kumarhanesi (26 dk. araçla gidiş mesafesi) bulunur. ",no
18592,xiaomi black shark 3 arka kamera değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi black shark 3 arka kamera değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
18598,the guild 3 türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
18611,alt üst bahis tahminleri kazanç garantili mi?,"hayır, alt üst bahislerimizdeki tahminler kazanç garantili değildir. veriler işlenerek kazanma oranı yüksek tahminler yapılmıştır. sorumluluk size aittir.",no
18644,rising hell türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
18650,hotel zar mérida içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında diamonds casino (3 dk. araçla gidiş mesafesi) ve casino la cima (5 dk. araçla gidiş mesafesi) bulunur. ",no
18662,riga şehrinde geçici ehliyete sahip araç kiralayabilir miyim?,"hayır, birlikte çalıştığımız tüm araç kiralama acenteleri geçici ehliyet kabul etmiyor. araç kiralayabilmeniz için tam bir ehliyetinizin olması gerekir. ",no
18671,neverreturn türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
18701,nh gran hotel provincial içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında del mar kumarhanesi (3 dk. yürüme mesafesi) ve casino central kumarhanesi (3 dk. yürüme mesafesi) bulunur. ",no
18703,kurasao şehrinde geçici ehliyete sahip araç kiralayabilir miyim?,"hayır, birlikte çalıştığımız tüm araç kiralama acenteleri geçici ehliyet kabul etmiyor. araç kiralayabilmeniz için tam bir ehliyetinizin olması gerekir. ",no
18710,Evcil hayvan kabul ediyor mu?,Maalesef hayır,no
18719,ferme d'hôte akrich içinde kumarhane var mı? ,"hayır, bu çiftlik oteli kumarhane içermez. ancak yakında casino de marrakech (21 dk. araçla gidiş mesafesi) bulunur. ",no
18721,xiaomi black shark 3 s kulaklık değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi black shark 3 s kulaklık değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
18725,aurora express otobüsünde tuvalet var mı?,"hayır, aurora express otobüslerinde genellikle tuvalet yoktur. endişelenmeyin. otobüs, yolculuğunuz sırasında molalar verecektir. bu sırada yürüyüş yapabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
18813,adana spor salonu fitness web sitesi yaptırmak için aynı şehirde mi olmamız gerekiyor?,"hayır, tüm çalışmalarımızı online olarak yürütüyor ve türkiye'nin her ilinde çalışmalar yürütüyoruz. bütün verileri sizden internet üzerinden sağlıyoruz.",no
18828,business pension gasper içinde kumarhane var mı? ,"hayır, bu misafir evi kumarhane içermez. ancak yakında kurhaus (18 dk. araçla gidiş mesafesi) bulunur. ",no
18857,heathrow şehrinde geçici ehliyete sahip araç kiralayabilir miyim?,"hayır, birlikte çalıştığımız tüm araç kiralama acenteleri geçici ehliyet kabul etmiyor. araç kiralayabilmeniz için tam bir ehliyetinizin olması gerekir. ",no
18876,arribo buenos aires hotel boutique içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında puerto madero casino (5 dk. araçla gidiş mesafesi) bulunur. ",no
18878,xiaomi mi 8 explorer edition ön kamera değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi mi 8 explorer edition ön kamera değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
18883,riad villa blanche içinde kumarhane var mı? ,"hayır, bu riad otel kumarhane içermez. ancak yakında casino le mirage (3 dk. araçla gidiş mesafesi) ve shems casino (5 dk. araçla gidiş mesafesi) bulunur. ",no
18902,grand beach hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında magic city casino (18 dk. araçla gidiş mesafesi) ve mardi gras kumarhanesi (26 dk. araçla gidiş mesafesi) bulunur. ",no
18932,bitcoin circuit için herhangi bir ücret ödemem gerekir mi?,"hayır, bitcoin circuit için herhangi bir ücret ödemezsiniz. sadece sistemde açılan hesabınıza, işlem yapmak için para yatırmanız gerekir. bu para zaten sizindir ve istediğiniz zaman çekebilirsiniz.",no
18939,the revolution hotel misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında indiirmli otopark yok. ",no
18940,windows’ta çalışan programlar freedos’ta çalışır mı?,"hayır, freedos’ta yalnızca dos tabanlı programlar çalışır.",no
18956,iphone x kamera entegresi değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone x kamera entegresi değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
18970,"casa tamayo, misafirlerine otelde otopark imkânı sunuyor mu? ","maalesef hayır, ancak araçlar sokağa park edilebilir. ",no
18984,nottingham express transit otobüs biletinizi yazdırmak gerekiyor mu?,"hayır, nottingham express transit ile yolculuk yaparken basılı bir bilete ihtiyacınız yoktur! otobüse binmek için sadece akıllı telefonunuzdaki e-biletinizi ve geçerli bir fotoğraflı kimliği gösterin. busbud'dan bilet aldığınız zaman e-biletinizi e-postayla alacaksınız.",no
18998,"programlanabilir anahtar çipleri, eski sabit fonksiyonlu uygulamaya özel entegre devrelerden daha mı fazla güç tüketir?",hayır. aslında pek çok durumda daha az tüketirler. eşit özellikler ve protokoller için güç tüketimi aynıdır. programlanabilir anahtarda ihtiyacınız olmayan özellikleri kapatabilir ve gücü azaltabilir ya da daha küçük tablolar kullanabilirsiniz.,no
19064,supernova hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında hollanda rotterdam casino (15 dk. yürüme mesafesi) bulunur. ",no
19080,i̇stediğin kadar flirtcast gönderebilir misin?,"hayır. kullanıcılar her 12 saatte bir yalnızca bir mesaj gönderebilir. bu nedenle, her abone günde iki kez yapabilir. oldukça hayal kırıklığı yaratıyor, değil mi? diğer özelliklerden en iyi şekilde yararlanın.",no
19233,wolfquest: anniversary edition türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
19338,hotel richter içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında gezi yolu kumarhanesi (11 dk. araçla gidiş mesafesi) bulunur. ",no
19344,diş temizletme zararlı mı?,hayır kesinlikle zararlı değildir. ancak işlemi bir diş hekiminin yapması gerekir. eğitim almamış kişilerin dişler üzerinde yapacağı her türlü müdahale sağlığınıza ve dişlerinize zarar verebilir. ,no
19388,golden gate hotel & casino havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, golden gate hotel & casino havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
19439,gästehaus offenbach içinde kumarhane var mı? ,"hayır, bu misafir evi kumarhane içermez. ancak yakında casino bad homburg kumarhanesi (18 dk. araçla gidiş mesafesi) bulunur. ",no
19455,riad bahia içinde kumarhane var mı? ,"hayır, bu riad otel kumarhane içermez. ancak yakında casino de marrakech (6 dk. araçla gidiş mesafesi) ve le grand casino de la mamounia (17 dk. araçla gidiş mesafesi) bulunur. ",no
19522,"the marquette hotel, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
19541,"hotel schlafschöningen, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
19555,"staybridge suites calgary airport, an ihg hotel içinde kumarhane var mı? ","hayır, bu otel kumarhane içermez. ancak yakında casino calgary kumarhanesi (4 dk. araçla gidiş mesafesi) ve cowboys casino kumarhanesi (9 dk. araçla gidiş mesafesi) bulunur. ",no
19585,leto city hotel havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, leto city hotel havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
19604,fallout: new vegas türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
19660,workers & resources: soviet republic türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
19753,turial park apartamentos turísticos misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında indiirmli otopark yok. ",no
19786,st christopher's inns the canal hostel havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, st christopher's inns the canal hostel havalimanına ücretsiz transfer hizmeti sunmamaktadır. [kayak ile en güncel fiyatları şimdi alın!](/paris-otelleri-st-christopher-s-inns-the-canal-hostel.542892.ksp)",no
19790,golden transtur otobüsünde tuvalet var mı?,"hayır, golden transtur otobüslerinde genellikle tuvalet yoktur. endişelenmeyin. otobüs, yolculuğunuz sırasında molalar verecektir. bu sırada yürüyüş yapabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
19851,123 mainstreet boutique hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında dragonara casino (12 dk. yürüme mesafesi) bulunur. ",no
19878,fletcher stadshotel den haag içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında holland casino scheveningen (6 dk. araçla gidiş mesafesi) bulunur. ",no
19895,teardown türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
19909,10th avenue guest house & suites içinde kumarhane var mı? ,"hayır, bu oda ve kahvaltı sunan otel kumarhane içermez. ancak yakında hanover raceway & casino (13 dk. yürüme mesafesi) bulunur. ",no
19919,"la casa del volcan, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
19922,"alto da praia hotel, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
19943,hotel indigo old town alexandria içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında mgm ulusal limanı (7 dk. araçla gidiş mesafesi) bulunur. ",no
19950,vodafone'un dijital kanallarından (yanımda veya vodafone.com.tr) başvuru yaptığımda herhangi bir kurye veya başvuru ücreti öder miyim?,hayır. vodafone’un dijital kanallarından yapılan başvurular tamamen ücretsizdir. ayrıca hattınız adresinize ücretsiz teslim edilir. vergiler hakkında detaylı bilgiyi ise buradan alabilirsiniz.,no
19955,bilgisayarı yeniden başlatınca herşey silinir mi?,hayır bilgisayarı yeniden başlatınca hiç bir şeyiniz silinmez. ancak yeniden başlat yapmadan önce üzerinde çalışmış olduğunuz dökümanları kaydetmeniz önerilir.,no
19972,oppo reno 2z ulta ekran değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. oppo reno 2z ulta ekran değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
19981,bed and breakfast d'angelo misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında ücretsiz otopark yok. ",no
20055,karşılıksız bonusta belge istenir mi?,"hayır, paylaştığımız karşılıksız bonus veren siteler belge talep etmemektedir. hiçbir belge göndermeden bu bonuslardan yararlanabilirsiniz.",no
20056,hotel borgo verde havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, hotel borgo verde havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
20087,hotel príncipe real içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında lisbon casino (10 dk. araçla gidiş mesafesi) bulunur. ",no
20095,biyoloji tyt ayt konuları aynı mı?,hayır. biyoloji konuları tyt testinde ve ayt testinde değişmektedir. ayt biyoloji testine tyt biyoloji konuları da dahildir. ,no
20122,süt dişleri 5 yaşında dökülür mü?,hayır. süt dişleri normal şartlarda 6-8 yaş arası değişmeye başlar. Çok nadiren 5 yaşında da başlayabilir.,no
20127,"stadthotel rüsselsheim, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
20135,for honor™ - kyoshin hero türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
20175,kanada vize fotoğrafı için vesikalık fotoğraf kullanabilir miyim?,"hayır. kanada vize fotoğrafının özel gereksinimleri olduğundan vesikalık fotoğraflar kabul edilmez. biyometrik pasaport, vize fotoğrafı şartları aranır.",no
20178,bitlis kuaför güzellik salonu web sitesi yaptırmak için aynı şehirde mi olmamız gerekiyor?,"hayır, tüm çalışmalarımızı online olarak yürütüyor ve türkiye'nin her ilinde çalışmalar yürütüyoruz. bütün verileri sizden internet üzerinden sağlıyoruz.",no
20188,hotel niederrad içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino bad homburg kumarhanesi (16 dk. araçla gidiş mesafesi) bulunur. ",no
20220,"happyvila apartments, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
20248,.eu alan adı kayıt bilgilerimi gizleyebilir miyim (whois gizleme)?," hayır. .eu alan adı bölgesi şu anda alan adı sahibinin bilgilerini gizlemesi için olanak sunmamaktadır. whois sorgulamada tüm bilgiler (ad, adres, eposta, vs.) görüntülenecektir. ",no
20263,the cumberland hotel by neu collective içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında dragonara casino (24 dk. araçla gidiş mesafesi) bulunur. ",no
20273,residence giusti 6 misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında ücretsiz otopark yok. ",no
20303,golden tulip marseille euromed misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında indiirmli otopark yok. ",no
20324,central park west hostel ücretsiz park imkanı sunuyor mu?,"hayır, central park west hostel ücretsiz park imkanı sunmamaktadır.",no
20328,elga sisteminden ismimi sildirdim. bu durumda elektronik aşı cüzdanına kayıt yapılması bir sorun oluşturacak mı?,hayır. elga sisteminden isminizi sildirmeniz ile elektronik aşı cüzdanı arasında bir bağlantı yoktur. aşınız otomatik olarak elektronik aşı cüzdanına kaydedilecektir. ,no
20337,bayertrans otobüsünde tuvalet var mı?,"hayır, bayertrans otobüslerinde genellikle tuvalet yoktur. endişelenmeyin, otobüs yolculuğunuz sırasında tuvalet ve dinlenme molaları verir. mola sırasında yürüyüşe çıkabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
20380,assetto corsa competizione - gt4 pack türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
20391,hilton garden inn tanger city center içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino malabata (4 dk. araçla gidiş mesafesi) bulunur. ",no
20442,royal hotel de paris havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, royal hotel de paris havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
20466,bennetts hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında mecca bingo beeston (7 dk. araçla gidiş mesafesi) ve alea nottingham (14 dk. araçla gidiş mesafesi) bulunur. ",no
20492,"suite room for familyfriends, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
20575,hudson new york havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, hudson new york havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
20597,"i̇lk yardım eğitimi sırasında i̇ğne yapmayı, damar yolu açmayı ya da sonda takmayı öğrenecek miyiz?",hayır. bu uygulamalar tıbbi uygulamalar olup ilk yardım eğitim müfredatında da yer almamaktadır.,no
20610,perabet belge istiyor mu?,"hayır, perabet bahis sitesi üyelerinden hiçbir şekilde belge talep etmemektedir. perabet belge istemeyen bahis sitelerinden biridir.",no
20619,essex house by clevelander içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında magic city casino (14 dk. araçla gidiş mesafesi) ve hialeah yarış pisti (20 dk. araçla gidiş mesafesi) bulunur. ",no
20623,lot hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında holland casino scheveningen (20 dk. araçla gidiş mesafesi) bulunur. ",no
20628,caronna tour srl otobüslerinde elektrik prizi ya da usb çıkışı var mı?,"hayır, caronna tour srl otobüslerinde elektrik prizi ya da usb çıkışı yok. varsa yanınızda bir pil paketi getirerek uzun otobüs yolculukları boyunca cihazlarınızı şarj etmenizi öneririz. yolculuğunuz sırasında vakit geçirmek için iyi bir kitap da getirebilirsiniz.",no
20638,yüksek oranlı siteler yasal mı?,"hayır, yüksek oranlara sahip olan siteler yurt dışı merkezlidir ve bu siteler ülkemizde yasal değildir.",no
20672,hyatt place tampa downtown içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında seminole hard rock casino tampa (9 dk. araçla gidiş mesafesi) bulunur. ",no
20694,konuşamaz diyorlar doğru mu?,hayır doğru değil; konuşmada bozukluk olabilir.,no
20698,iphone 8 plus kasa değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone 8 plus kasa değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
20707,enter the gungeon türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
20736,smart hyde park view - hostel ücretsiz park imkanı sunuyor mu?,"hayır, smart hyde park view - hostel ücretsiz park imkanı sunmamaktadır. [kayak ile en güncel fiyatları şimdi alın!](/londra-otelleri-smart-hyde-park-view-hostel.390924.ksp)",no
20744,maritime bus otobüsünde tuvalet var mı?,"hayır, maritime bus otobüslerinde genellikle tuvalet yoktur. endişelenmeyin. otobüs, yolculuğunuz sırasında molalar verecektir. bu sırada yürüyüş yapabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
20756,otel odası misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında indiirmli otopark yok. ",no
20774,xiaomi mi poco m2 ön kamera değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi mi poco m2 ön kamera değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
20780,econo lodge near lax içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında hollywood park casino (7 dk. yürüme mesafesi) ve hustler casino (10 dk. araçla gidiş mesafesi) bulunur. ",no
20797,hilton garden inn sun prairie madison içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında ho-chunk gaming madison (13 dk. araçla gidiş mesafesi) bulunur. ",no
20826,"airport van, san diego havalimanı (san) için shuttle veya gelip alma hizmetlerini sunuyor mu?",hayır (verilerimize göre),no
20862,natural instincts türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
20902,hotel helios misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında ücretsiz otopark yok. ",no
20960,mariobet whatsapp desteği var mı?,"hayır, mariobet sitesinin şuanda aktif bir whatsapp destek yöntemi yoktur.",no
20965,gästehaus alexanna içinde kumarhane var mı? ,"hayır, bu misafir evi kumarhane içermez. ancak yakında kurhaus baden-baden (14 dk. araçla gidiş mesafesi) ve casino baden-baden (14 dk. araçla gidiş mesafesi) bulunur. ",no
20970,urban rooms by neu collective içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında dragonara casino (4 dk. araçla gidiş mesafesi) bulunur. ",no
20973,skenderbeu shpk otobüsünde tuvalet var mı?,"hayır, skenderbeu shpk otobüslerinde genellikle tuvalet yoktur. endişelenmeyin, otobüs yolculuğunuz sırasında tuvalet ve dinlenme molaları verir. mola sırasında yürüyüşe çıkabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
20999,sobieski apartments sobieskigasse misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında indiirmli otopark yok. ",no
21001,srf hotel havuza sahip mi?,"hayır, srf hotel tesis içinde bir havuza sahip değildir. [kayak ile en güncel fiyatları şimdi alın!](/eski%c5%9fehir-otelleri-srf-hotel.665135.ksp)",no
21012,bu daire otel içinde kumarhane var mı? ,"hayır, bu apart daire kumarhane içermez. ancak yakında mardi gras kumarhanesi (5 dk. araçla gidiş mesafesi) ve gulfstream park racing and casino (9 dk. araçla gidiş mesafesi) bulunur. ",no
21013,"secret suites brussels royal, misafirlerine otelde otopark imkânı sunuyor mu? ","maalesef hayır, ancak araçlar sokağa park edilebilir. ",no
21021,bisolnatur glüten içeriyor mu?,hayır. bisolnatur glüten içermez. eğer emin değilseniz tedavi edici herhangi bir ürünü kullanmadan önce daima etiketi okuyunuz ve doktorunuza ya da eczacınıza danışınız.,no
21026,rockwell colombo içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında bally's casino (9 dk. araçla gidiş mesafesi) ve bellagio casino (10 dk. araçla gidiş mesafesi) bulunur. ",no
21030,hotel münchner hof içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino bad homburg kumarhanesi (17 dk. araçla gidiş mesafesi) bulunur. ",no
21098,union ivkoni otobüslerinde elektrik prizi ya da usb çıkışı var mı?,"hayır, union ivkoni otobüslerinde elektrik prizi ya da usb çıkışı yok. varsa yanınızda bir pil paketi getirerek uzun otobüs yolculukları boyunca cihazlarınızı şarj etmenizi öneririz. yolculuğunuz sırasında vakit geçirmek için iyi bir kitap da getirebilirsiniz.",no
21116,xiaomi mi 8 şarj soketi değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi mi 8 şarj soketi değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
21139,kozan city hotel havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, kozan city hotel havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
21182,holiday inn hamburg - hafencity içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında gezi yolu kumarhanesi (4 dk. araçla gidiş mesafesi) bulunur. ",no
21220,schmuckkästle am hafen içinde kumarhane var mı? ,"hayır, bu misafir evi kumarhane içermez. ancak yakında kurhaus (19 dk. araçla gidiş mesafesi) bulunur. ",no
21226,appartello - smarttime living hamburg içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında gezi yolu kumarhanesi (9 dk. araçla gidiş mesafesi) bulunur. ",no
21235,"economy rent a car, new york la guardia havaalanı havalimanı (lga) için shuttle veya gelip alma hizmetlerini sunuyor mu?",hayır (verilerimize göre),no
21243,rapidssl için belge gerekli mi?,"hayır, rapidssl almak için bir belge gerekmemektedir.",no
21254,the wallace içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında empire city casino (15 dk. araçla gidiş mesafesi) ve resorts world casino (24 dk. araçla gidiş mesafesi) bulunur. ",no
21260,xiaomi mi 10t lite kamera camı değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi mi 10t lite kamera camı değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
21280,xiaomi redmi 8 ekran değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi 8 ekran değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
21313,军团战棋legion war türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
21326,checkin concordia playa içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında puerto de la cruz kumarhanesi (4 dk. yürüme mesafesi) bulunur. ",no
21337,remnant: from the ashes türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
21391,baymont by wyndham battle creek downtown içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında firekeepers casino (10 dk. araçla gidiş mesafesi) bulunur. ",no
21426,bologna şehrinde geçici ehliyete sahip araç kiralayabilir miyim?,"hayır, birlikte çalıştığımız tüm araç kiralama acenteleri geçici ehliyet kabul etmiyor. araç kiralayabilmeniz için tam bir ehliyetinizin olması gerekir. ",no
21437,jeppesen residence havalimanına ücretsiz transfer hizmeti sunuyor mu?,"hayır, jeppesen residence havalimanına ücretsiz transfer hizmeti sunmamaktadır.",no
21467,best western plus hawthorne terrace hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında rivers casino (17 dk. araçla gidiş mesafesi) bulunur. ",no
21472,grand hotel bariloche içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında bariloche kumarhanesi (14 dk. yürüme mesafesi) bulunur. ",no
